target,feature,shap_mean_abs,shap_mean_pos,shap_mean_neg,count_pos,count_neg,x_mean_when_shap_pos,x_mean_when_shap_neg
Ioff_eq,sde_xAl,0.0,,,0,0,,
Ioff_eq,sde_xIn,0.0,,,0,0,,
Ioff_eq,sde_tRecess,0.0,,,0,0,,
Ioff_eq,sde_AlN1,0.0,,,0,0,,
Ioff_eq,sde_AlN2,0.0,,,0,0,,
Ioff_fixed0,sde_xIn,0.004445677109536727,0.004115803742934692,-0.004681300942823895,600,840,0.26,0.14
Ioff_fixed0,sde_tRecess,0.0038998838779391574,0.005867800377625279,-0.002915925628096096,480,960,0.05000000000000001,0.05600000000000002
Ioff_fixed0,sde_AlN1,0.001813954725714783,0.0014330315542879445,-0.002194877897141621,720,720,1.0,0.0
Ioff_fixed0,sde_xAl,0.0011794791227514457,0.0011800525049393406,-0.0011790126178479441,646,794,0.24458204334365324,0.1383375314861461
Ioff_fixed0,sde_AlN2,0.0007953200703070277,0.0008525395118070001,-0.0007381006288070555,720,720,1.0,0.0
Ion_eq,sde_tRecess,0.002364058670449797,0.0018154066083712905,-0.0034613627946068087,960,480,0.05600000000000002,0.05000000000000001
Ion_eq,sde_AlN1,0.0013491453613251503,0.0016562730523259892,-0.0010420176703243114,720,720,0.0,1.0
Ion_eq,sde_xAl,0.000758653495227531,0.0007788352396838496,-0.0007363473566179161,756,684,0.13547619047619047,0.2418421052631579
Ion_eq,sde_xIn,0.000618180130176602,0.00061032832005485,-0.0006336890774418806,956,484,0.16165271966527198,0.24599173553719006
Ion_eq,sde_AlN2,0.00039730881855983095,0.00037122440093179587,-0.0004234657936777911,721,719,0.0013869625520110957,1.0
Ion_fixedV,sde_xIn,0.0066499341983161835,0.005323361902866429,-0.00797282668157329,719,721,0.25006954102920725,0.13009708737864079
Ion_fixedV,sde_AlN1,0.002509072699999883,0.0020272426709886733,-0.0029909027290110925,720,720,1.0,0.0
Ion_fixedV,sde_xAl,0.0016582169766522618,0.0016664659573326407,-0.0016511782711296217,663,777,0.24343891402714937,0.136988416988417
Ion_fixedV,sde_AlN2,0.00120157410663727,0.0013009141047381737,-0.0011022341085363666,720,720,1.0,0.0
Ion_fixedV,sde_tRecess,0.0005485749347783725,0.0008137948826494039,-0.0004159649608428566,480,960,0.05000000000000001,0.05600000000000002
ON_OFF_eq,sde_tRecess,12139360782.318739,9114581689.25137,-18132556625.104397,957,483,0.056003134796238266,0.05003105590062113
ON_OFF_eq,sde_AlN1,11183631168.81534,13476218233.61464,-8878272031.231644,722,718,0.04709141274238227,0.9554317548746518
ON_OFF_eq,sde_xIn,10154122246.06613,10173380958.470806,-10124209777.86312,876,564,0.1438812785388128,0.26163120567375886
ON_OFF_eq,sde_xAl,9413191930.888807,8902080901.636763,-10153781381.437689,852,588,0.1545774647887324,0.231530612244898
ON_OFF_eq,sde_AlN2,5277188409.250454,4913561147.268461,-5676860356.093637,754,686,0.22811671087533156,0.7988338192419825
ON_OFF_fixedV,sde_xIn,0.9022978600128863,1.456970175209994,-0.6669324562348848,429,1011,0.10643356643356645,0.22545994065281905
ON_OFF_fixedV,sde_AlN1,0.5666319617070102,0.6025275219144636,-0.5307364014995569,720,720,0.0,1.0
ON_OFF_fixedV,sde_tRecess,0.4896114739171728,0.38643151151004107,-0.6426024526587819,860,580,0.056116279069767454,0.05086206896551723
ON_OFF_fixedV,sde_xAl,0.3121826239081212,0.3043996137076996,-0.3199225149384573,718,722,0.13217270194986072,0.2395290858725762
ON_OFF_fixedV,sde_AlN2,0.20934484060646905,0.18158524225432168,-0.2371044389586164,720,720,0.0,1.0
SS,sde_AlN1,10.344356463037432,8.169427632038792,-12.51928529403607,720,720,1.0,0.0
SS,sde_xAl,7.99592294215499,8.20184681541789,-7.829788625331846,643,797,0.24416796267496113,0.13907151819322458
SS,sde_tRecess,7.633989461751085,11.419542394070584,-5.735291901328061,481,959,0.05001039501039502,0.05600104275286759
SS,sde_xIn,7.166365522843888,6.673365370272052,-7.509549374634179,591,849,0.25925549915397633,0.14179034157832743
SS,sde_AlN2,2.8193614858340776,3.0243988874793604,-2.6097165021293516,728,712,0.9395604395604396,0.05056179775280899
Vth,sde_xIn,1.416855963027317,1.2196997941224221,-1.5860286757005495,665,775,0.25413533834586466,0.1349677419354839
Vth,sde_tRecess,1.345797115596137,2.018136128807014,-1.0096276089906986,480,960,0.05000000000000001,0.05600000000000002
Vth,sde_AlN1,0.806752130650755,0.6454771192465447,-0.9680271420549654,720,720,1.0,0.0
Vth,sde_xAl,0.4971861576029287,0.4995384358862117,-0.4952234285894888,655,785,0.24396946564885497,0.13763057324840766
Vth,sde_AlN2,0.31185196514468855,0.33414178569087405,-0.2895621445985031,720,720,1.0,0.0
