target,R2_orig,MAE_orig,y_transform
Ion_eq,0.9949953766345084,0.0004127178987156987,sign(x)*log10(1+|x|)
Ion_fixedV,0.9957748201991126,0.0010474148737090812,sign(x)*log10(1+|x|)
Ioff_eq,-0.007116696160421432,6.012118070286913e-13,log10(1+x)
Ioff_fixed0,0.9921038858773257,0.0010482811566208368,log10(1+x)
SS,0.80597070785264,7.5551204297745365,none
Vth,0.9929555459574306,0.16462410783158293,none
ON_OFF_eq,0.9827777367533832,2353584839.20904,none
ON_OFF_fixedV,0.2900487608516976,2527548988.8808804,log10(1+x)
