target,feature,shap_mean_abs,shap_mean_pos,shap_mean_neg,count_pos,count_neg,x_mean_when_shap_pos,x_mean_when_shap_neg
ON_OFF_eq,sde_tRecess,12139360782.318739,9114581689.25137,-18132556625.104397,957,483,0.056003134796238266,0.05003105590062113
ON_OFF_eq,sde_AlN1,11183631168.81534,13476218233.61464,-8878272031.231644,722,718,0.04709141274238227,0.9554317548746518
ON_OFF_eq,sde_xIn,10154122246.06613,10173380958.470806,-10124209777.86312,876,564,0.1438812785388128,0.26163120567375886
ON_OFF_eq,sde_xAl,9413191930.888807,8902080901.636763,-10153781381.437689,852,588,0.1545774647887324,0.231530612244898
ON_OFF_eq,sde_AlN2,5277188409.250454,4913561147.268461,-5676860356.093637,754,686,0.22811671087533156,0.7988338192419825
