sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.18,0.24,0.057,1,1,-5.0,5.0,4.525048952297444e-13
0.18,0.24,0.057,1,1,-5.0,4.949832775919733,4.576394823655598e-13
0.18,0.24,0.057,1,1,-5.0,4.8996655518394645,4.627740695013754e-13
0.18,0.24,0.057,1,1,-5.0,4.849498327759197,4.679086566371909e-13
0.18,0.24,0.057,1,1,-5.0,4.79933110367893,4.739469292481068e-13
0.18,0.24,0.057,1,1,-5.0,4.749163879598663,4.806909295185621e-13
0.18,0.24,0.057,1,1,-5.0,4.698996655518394,4.874349297890176e-13
0.18,0.24,0.057,1,1,-5.0,4.648829431438127,4.941789300594729e-13
0.18,0.24,0.057,1,1,-5.0,4.59866220735786,5.084501463853874e-13
0.18,0.24,0.057,1,1,-5.0,4.548494983277592,5.224191490162122e-13
0.18,0.24,0.057,1,1,-5.0,4.498327759197324,5.340701143586516e-13
0.18,0.24,0.057,1,1,-5.0,4.448160535117057,5.457210797010912e-13
0.18,0.24,0.057,1,1,-5.0,4.397993311036789,5.609211433872625e-13
0.18,0.24,0.057,1,1,-5.0,4.3478260869565215,5.798374072839113e-13
0.18,0.24,0.057,1,1,-5.0,4.297658862876254,5.987536711805602e-13
0.18,0.24,0.057,1,1,-5.0,4.247491638795987,6.176699350772092e-13
0.18,0.24,0.057,1,1,-5.0,4.197324414715719,9.355700917674089e-13
0.18,0.24,0.057,1,1,-5.0,4.147157190635451,1.2865062255069769e-12
0.18,0.24,0.057,1,1,-5.0,4.096989966555184,1.6374423592465449e-12
0.18,0.24,0.057,1,1,-5.0,4.046822742474916,8.790881086598679e-11
0.18,0.24,0.057,1,1,-5.0,3.9966555183946486,3.6320513059331887e-10
0.18,0.24,0.057,1,1,-5.0,3.9464882943143813,6.38501450320651e-10
0.18,0.24,0.057,1,1,-5.0,3.896321070234114,9.137977700479831e-10
0.18,0.24,0.057,1,1,-5.0,3.846153846153846,6.305803611516583e-08
0.18,0.24,0.057,1,1,-5.0,3.7959866220735785,1.48728697549303e-07
0.18,0.24,0.057,1,1,-5.0,3.745819397993311,2.343993589834401e-07
0.18,0.24,0.057,1,1,-5.0,3.6956521739130435,7.867401050417296e-07
0.18,0.24,0.057,1,1,-5.0,3.6454849498327757,4.291239225260798e-06
0.18,0.24,0.057,1,1,-5.0,3.5953177257525084,7.795738345479834e-06
0.18,0.24,0.057,1,1,-5.0,3.5451505016722407,1.1300237465698904e-05
0.18,0.24,0.057,1,1,-5.0,3.494983277591973,1.820479095380724e-05
0.18,0.24,0.057,1,1,-5.0,3.4448160535117056,3.0517584198179374e-05
0.18,0.24,0.057,1,1,-5.0,3.3946488294314383,4.622014352788477e-05
0.18,0.24,0.057,1,1,-5.0,3.3444816053511706,6.644483694723938e-05
0.18,0.24,0.057,1,1,-5.0,3.294314381270903,8.972784444776401e-05
0.18,0.24,0.057,1,1,-5.0,3.2441471571906355,0.0001205809099997
0.18,0.24,0.057,1,1,-5.0,3.1939799331103678,0.0001514339755517
0.18,0.24,0.057,1,1,-5.0,3.1438127090301,0.0001862366690033
0.18,0.24,0.057,1,1,-5.0,3.0936454849498327,0.0002322587327293
0.18,0.24,0.057,1,1,-5.0,3.0434782608695654,0.0002782807964554
0.18,0.24,0.057,1,1,-5.0,2.9933110367892977,0.0003243028601814
0.18,0.24,0.057,1,1,-5.0,2.94314381270903,0.0003823445815396
0.18,0.24,0.057,1,1,-5.0,2.8929765886287626,0.000446243064871
0.18,0.24,0.057,1,1,-5.0,2.842809364548495,0.0005101415482024
0.18,0.24,0.057,1,1,-5.0,2.7926421404682276,0.0005756699833789
0.18,0.24,0.057,1,1,-5.0,2.74247491638796,0.0006588864145029
0.18,0.24,0.057,1,1,-5.0,2.692307692307692,0.0007421028456269
0.18,0.24,0.057,1,1,-5.0,2.6421404682274248,0.0008253192767509
0.18,0.24,0.057,1,1,-5.0,2.591973244147157,0.0009188370824392
0.18,0.24,0.057,1,1,-5.0,2.5418060200668897,0.0010228067234638
0.18,0.24,0.057,1,1,-5.0,2.491638795986622,0.0011267763644883
0.18,0.24,0.057,1,1,-5.0,2.4414715719063547,0.0012307460055128
0.18,0.24,0.057,1,1,-5.0,2.391304347826087,0.0013548828796318
0.18,0.24,0.057,1,1,-5.0,2.341137123745819,0.0014810539606942
0.18,0.24,0.057,1,1,-5.0,2.290969899665552,0.0016072250417566
0.18,0.24,0.057,1,1,-5.0,2.240802675585284,0.0017409772054307
0.18,0.24,0.057,1,1,-5.0,2.190635451505017,0.0018908114393973
0.18,0.24,0.057,1,1,-5.0,2.140468227424749,0.0020406456733638
0.18,0.24,0.057,1,1,-5.0,2.0903010033444813,0.0021904799073304
0.18,0.24,0.057,1,1,-5.0,2.040133779264214,0.0023587171484505
0.18,0.24,0.057,1,1,-5.0,1.9899665551839463,0.0025336792296995
0.18,0.24,0.057,1,1,-5.0,1.939799331103679,0.0027086413109486
0.18,0.24,0.057,1,1,-5.0,1.8896321070234112,0.0028874432837667
0.18,0.24,0.057,1,1,-5.0,1.839464882943144,0.0030890020165758
0.18,0.24,0.057,1,1,-5.0,1.7892976588628762,0.0032905607493849
0.18,0.24,0.057,1,1,-5.0,1.7391304347826084,0.0034921194821941
0.18,0.24,0.057,1,1,-5.0,1.6889632107023411,0.0037092858982187
0.18,0.24,0.057,1,1,-5.0,1.6387959866220734,0.0039388970834485
0.18,0.24,0.057,1,1,-5.0,1.588628762541806,0.0041685082686782
0.18,0.24,0.057,1,1,-5.0,1.5384615384615383,0.004398119453908
0.18,0.24,0.057,1,1,-5.0,1.488294314381271,0.0046562570221936
0.18,0.24,0.057,1,1,-5.0,1.4381270903010033,0.0049153261994779
0.18,0.24,0.057,1,1,-5.0,1.3879598662207355,0.0051743953767623
0.18,0.24,0.057,1,1,-5.0,1.3377926421404682,0.0054451638477911
0.18,0.24,0.057,1,1,-5.0,1.2876254180602005,0.005734990287631
0.18,0.24,0.057,1,1,-5.0,1.2374581939799332,0.0060248167274708
0.18,0.24,0.057,1,1,-5.0,1.1872909698996654,0.0063146431673107
0.18,0.24,0.057,1,1,-5.0,1.1371237458193977,0.0066297135593178
0.18,0.24,0.057,1,1,-5.0,1.0869565217391304,0.0069513985915758
0.18,0.24,0.057,1,1,-5.0,1.0367892976588626,0.0072730836238337
0.18,0.24,0.057,1,1,-5.0,0.9866220735785953,0.0076014386729572
0.18,0.24,0.057,1,1,-5.0,0.936454849498328,0.0079557598733642
0.18,0.24,0.057,1,1,-5.0,0.8862876254180598,0.0083100810737712
0.18,0.24,0.057,1,1,-5.0,0.8361204013377925,0.0086644022741782
0.18,0.24,0.057,1,1,-5.0,0.7859531772575252,0.0090390524033789
0.18,0.24,0.057,1,1,-5.0,0.735785953177257,0.0094263550335872
0.18,0.24,0.057,1,1,-5.0,0.6856187290969897,0.0098136576637955
0.18,0.24,0.057,1,1,-5.0,0.6354515050167224,0.0102018934428248
0.18,0.24,0.057,1,1,-5.0,0.5852842809364551,0.0106220823750991
0.18,0.24,0.057,1,1,-5.0,0.5351170568561869,0.0110422713073733
0.18,0.24,0.057,1,1,-5.0,0.48494983277591963,0.0114624602396476
0.18,0.24,0.057,1,1,-5.0,0.43478260869565233,0.0118969606052865
0.18,0.24,0.057,1,1,-5.0,0.38461538461538414,0.0123496478250764
0.18,0.24,0.057,1,1,-5.0,0.33444816053511683,0.0128023350448663
0.18,0.24,0.057,1,1,-5.0,0.28428093645484953,0.0132550222646562
0.18,0.24,0.057,1,1,-5.0,0.23411371237458223,0.0137350556919239
0.18,0.24,0.057,1,1,-5.0,0.18394648829431404,0.0142198252786038
0.18,0.24,0.057,1,1,-5.0,0.13377926421404673,0.0147045948652837
0.18,0.24,0.057,1,1,-5.0,0.08361204013377943,0.0151977533689503
0.18,0.24,0.057,1,1,-5.0,0.03344481605351124,0.0157142540837119
0.18,0.24,0.057,1,1,-5.0,-0.016722408026756064,0.0162307547984736
0.18,0.24,0.057,1,1,-5.0,-0.06688963210702337,0.0167472555132353
0.18,0.24,0.057,1,1,-5.0,-0.11705685618729067,0.01728501860054
0.18,0.24,0.057,1,1,-5.0,-0.16722408026755886,0.017832955090638
0.18,0.24,0.057,1,1,-5.0,-0.21739130434782616,0.0183808915807359
0.18,0.24,0.057,1,1,-5.0,-0.26755852842809347,0.0189315846344167
0.18,0.24,0.057,1,1,-5.0,-0.31772575250836166,0.0195107127916471
0.18,0.24,0.057,1,1,-5.0,-0.36789297658862896,0.0200898409488774
0.18,0.24,0.057,1,1,-5.0,-0.41806020066889626,0.0206689691061078
0.18,0.24,0.057,1,1,-5.0,-0.46822742474916446,0.0212636176714239
0.18,0.24,0.057,1,1,-5.0,-0.5183946488294318,0.0218737633816609
0.18,0.24,0.057,1,1,-5.0,-0.5685618729096991,0.0224839090918979
0.18,0.24,0.057,1,1,-5.0,-0.6187290969899664,0.0230940548021348
0.18,0.24,0.057,1,1,-5.0,-0.6688963210702346,0.0237323515804814
0.18,0.24,0.057,1,1,-5.0,-0.7190635451505019,0.0243733520029908
0.18,0.24,0.057,1,1,-5.0,-0.7692307692307692,0.0250143524255002
0.18,0.24,0.057,1,1,-5.0,-0.8193979933110374,0.0256652922997344
0.18,0.24,0.057,1,1,-5.0,-0.8695652173913047,0.0263369345772718
0.18,0.24,0.057,1,1,-5.0,-0.919732441471572,0.0270085768548093
0.18,0.24,0.057,1,1,-5.0,-0.9698996655518393,0.0276802191323467
0.18,0.24,0.057,1,1,-5.0,-1.0200668896321075,0.0283686394382529
0.18,0.24,0.057,1,1,-5.0,-1.0702341137123748,0.0290630663409728
0.18,0.24,0.057,1,1,-5.0,-1.120401337792642,0.029775170642363
0.18,0.24,0.057,1,1,-5.0,-1.1705685618729103,0.0304883558935856
0.18,0.24,0.057,1,1,-5.0,-1.2207357859531776,0.0312080250443188
0.18,0.24,0.057,1,1,-5.0,-1.2709030100334449,0.0319470040280549
0.18,0.24,0.057,1,1,-5.0,-1.3210702341137122,0.0326859830117911
0.18,0.24,0.057,1,1,-5.0,-1.3712374581939804,0.0334249619955272
0.18,0.24,0.057,1,1,-5.0,-1.4214046822742477,0.0341827943809964
0.18,0.24,0.057,1,1,-5.0,-1.471571906354515,0.0349501937931977
0.18,0.24,0.057,1,1,-5.0,-1.5217391304347831,0.035717593205399
0.18,0.24,0.057,1,1,-5.0,-1.5719063545150505,0.0364869525189017
0.18,0.24,0.057,1,1,-5.0,-1.6220735785953178,0.0372803539384186
0.18,0.24,0.057,1,1,-5.0,-1.672240802675585,0.0380737553579356
0.18,0.24,0.057,1,1,-5.0,-1.7224080267558532,0.0388671567774526
0.18,0.24,0.057,1,1,-5.0,-1.7725752508361206,0.0396710822951533
0.18,0.24,0.057,1,1,-5.0,-1.8227424749163879,0.0404860771451575
0.18,0.24,0.057,1,1,-5.0,-1.872909698996656,0.0413010719951617
0.18,0.24,0.057,1,1,-5.0,-1.9230769230769234,0.042116066845166
0.18,0.24,0.057,1,1,-5.0,-1.9732441471571907,0.0429436179522813
0.18,0.24,0.057,1,1,-5.0,-2.023411371237458,0.0437725738942784
0.18,0.24,0.057,1,1,-5.0,-2.073578595317726,0.0446015298362755
0.18,0.24,0.057,1,1,-5.0,-2.1237458193979935,0.0454322582529907
0.18,0.24,0.057,1,1,-5.0,-2.1739130434782608,0.0462669066067683
0.18,0.24,0.057,1,1,-5.0,-2.224080267558529,0.0471015549605458
0.18,0.24,0.057,1,1,-5.0,-2.2742474916387962,0.0479362033143233
0.18,0.24,0.057,1,1,-5.0,-2.3244147157190636,0.0487710631993581
0.18,0.24,0.057,1,1,-5.0,-2.374581939799331,0.0496060039758171
0.18,0.24,0.057,1,1,-5.0,-2.424749163879599,0.0504409447522761
0.18,0.24,0.057,1,1,-5.0,-2.4749163879598663,0.0512754710910539
0.18,0.24,0.057,1,1,-5.0,-2.5250836120401337,0.0521073504626659
0.18,0.24,0.057,1,1,-5.0,-2.575250836120402,0.0529392298342779
0.18,0.24,0.057,1,1,-5.0,-2.625418060200669,0.0537711092058899
0.18,0.24,0.057,1,1,-5.0,-2.6755852842809364,0.0545999765337963
0.18,0.24,0.057,1,1,-5.0,-2.7257525083612046,0.0554263531993922
0.18,0.24,0.057,1,1,-5.0,-2.775919732441472,0.0562527298649881
0.18,0.24,0.057,1,1,-5.0,-2.8260869565217392,0.057079106530584
0.18,0.24,0.057,1,1,-5.0,-2.8762541806020065,0.0578983853973124
0.18,0.24,0.057,1,1,-5.0,-2.9264214046822747,0.0587173637057826
0.18,0.24,0.057,1,1,-5.0,-2.976588628762542,0.0595363420142528
0.18,0.24,0.057,1,1,-5.0,-3.0267558528428093,0.060351886143883
0.18,0.24,0.057,1,1,-5.0,-3.0769230769230766,0.0611616172525147
0.18,0.24,0.057,1,1,-5.0,-3.127090301003344,0.0619713483611465
0.18,0.24,0.057,1,1,-5.0,-3.177257525083613,0.0627810794697783
0.18,0.24,0.057,1,1,-5.0,-3.2274247491638803,0.0635828352944483
0.18,0.24,0.057,1,1,-5.0,-3.2775919732441476,0.064382385731037
0.18,0.24,0.057,1,1,-5.0,-3.327759197324415,0.0651819361676256
0.18,0.24,0.057,1,1,-5.0,-3.3779264214046822,0.0659786746489057
0.18,0.24,0.057,1,1,-5.0,-3.4280936454849495,0.0667638324799483
0.18,0.24,0.057,1,1,-5.0,-3.478260869565217,0.067548990310991
0.18,0.24,0.057,1,1,-5.0,-3.528428093645486,0.0683341481420336
0.18,0.24,0.057,1,1,-5.0,-3.5785953177257532,0.0691097034069114
0.18,0.24,0.057,1,1,-5.0,-3.6287625418060205,0.0698790512916033
0.18,0.24,0.057,1,1,-5.0,-3.678929765886288,0.0706483991762951
0.18,0.24,0.057,1,1,-5.0,-3.729096989966555,0.0714174317462565
0.18,0.24,0.057,1,1,-5.0,-3.7792642140468224,0.072170505322285
0.18,0.24,0.057,1,1,-5.0,-3.8294314381270897,0.0729235788983136
