sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.18,0.2,0.057,0,1,-5.0,5.0,5.070095115134125e-13
0.18,0.2,0.057,0,1,-5.0,4.949832775919733,5.079041655481985e-13
0.18,0.2,0.057,0,1,-5.0,4.8996655518394645,5.087988195829843e-13
0.18,0.2,0.057,0,1,-5.0,4.849498327759197,5.096934736177703e-13
0.18,0.2,0.057,0,1,-5.0,4.79933110367893,5.100898169254079e-13
0.18,0.2,0.057,0,1,-5.0,4.749163879598663,5.100970075102412e-13
0.18,0.2,0.057,0,1,-5.0,4.698996655518394,5.101041980950747e-13
0.18,0.2,0.057,0,1,-5.0,4.648829431438127,5.101113886799078e-13
0.18,0.2,0.057,0,1,-5.0,4.59866220735786,5.096777726465535e-13
0.18,0.2,0.057,0,1,-5.0,4.548494983277592,5.092321572548197e-13
0.18,0.2,0.057,0,1,-5.0,4.498327759197324,5.087865418630862e-13
0.18,0.2,0.057,0,1,-5.0,4.448160535117057,5.082126803391747e-13
0.18,0.2,0.057,0,1,-5.0,4.397993311036789,5.074343901557995e-13
0.18,0.2,0.057,0,1,-5.0,4.3478260869565215,5.066560999724239e-13
0.18,0.2,0.057,0,1,-5.0,4.297658862876254,5.058778097890485e-13
0.18,0.2,0.057,0,1,-5.0,4.247491638795987,5.041584230695757e-13
0.18,0.2,0.057,0,1,-5.0,4.197324414715719,5.022000745337271e-13
0.18,0.2,0.057,0,1,-5.0,4.147157190635451,5.002417259978784e-13
0.18,0.2,0.057,0,1,-5.0,4.096989966555184,4.968749528310239e-13
0.18,0.2,0.057,0,1,-5.0,4.046822742474916,4.881938136937153e-13
0.18,0.2,0.057,0,1,-5.0,3.9966555183946486,4.795126745564068e-13
0.18,0.2,0.057,0,1,-5.0,3.9464882943143813,4.708315354190983e-13
0.18,0.2,0.057,0,1,-5.0,3.896321070234114,4.593234167038768e-13
0.18,0.2,0.057,0,1,-5.0,3.846153846153846,4.460936378595481e-13
0.18,0.2,0.057,0,1,-5.0,3.7959866220735785,4.3286385901521954e-13
0.18,0.2,0.057,0,1,-5.0,3.745819397993311,4.198704020600011e-13
0.18,0.2,0.057,0,1,-5.0,3.6956521739130435,4.136950079652277e-13
