sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.08,0.22,0.057,1,1,-5.0,5.0,3.8183978299385227e-13
0.08,0.22,0.057,1,1,-5.0,4.949832775919733,3.834874018933924e-13
0.08,0.22,0.057,1,1,-5.0,4.8996655518394645,3.851350207929326e-13
0.08,0.22,0.057,1,1,-5.0,4.849498327759197,3.8678263969247276e-13
0.08,0.22,0.057,1,1,-5.0,4.79933110367893,3.87967262477268e-13
0.08,0.22,0.057,1,1,-5.0,4.749163879598663,3.887903112704059e-13
0.08,0.22,0.057,1,1,-5.0,4.698996655518394,3.8961336006354396e-13
0.08,0.22,0.057,1,1,-5.0,4.648829431438127,3.904364088566818e-13
0.08,0.22,0.057,1,1,-5.0,4.59866220735786,3.909723364413215e-13
0.08,0.22,0.057,1,1,-5.0,4.548494983277592,3.9150044819439953e-13
0.08,0.22,0.057,1,1,-5.0,4.498327759197324,3.920285599474775e-13
0.08,0.22,0.057,1,1,-5.0,4.448160535117057,3.924881082927907e-13
0.08,0.22,0.057,1,1,-5.0,4.397993311036789,3.928383642540015e-13
0.08,0.22,0.057,1,1,-5.0,4.3478260869565215,3.931886202152121e-13
0.08,0.22,0.057,1,1,-5.0,4.297658862876254,3.935388761764228e-13
0.08,0.22,0.057,1,1,-5.0,4.247491638795987,3.936443015085387e-13
0.08,0.22,0.057,1,1,-5.0,4.197324414715719,3.936875598157121e-13
0.08,0.22,0.057,1,1,-5.0,4.147157190635451,3.9373081812288557e-13
0.08,0.22,0.057,1,1,-5.0,4.096989966555184,3.937002471051868e-13
0.08,0.22,0.057,1,1,-5.0,4.046822742474916,3.933910981337347e-13
0.08,0.22,0.057,1,1,-5.0,3.9966555183946486,3.9308194916228267e-13
0.08,0.22,0.057,1,1,-5.0,3.9464882943143813,3.927728001908306e-13
0.08,0.22,0.057,1,1,-5.0,3.896321070234114,3.9240862945642157e-13
0.08,0.22,0.057,1,1,-5.0,3.846153846153846,3.9201094989292263e-13
0.08,0.22,0.057,1,1,-5.0,3.7959866220735785,3.9161327032942373e-13
0.08,0.22,0.057,1,1,-5.0,3.745819397993311,3.9122186151868863e-13
0.08,0.22,0.057,1,1,-5.0,3.6956521739130435,3.9101136860485565e-13
0.08,0.22,0.057,1,1,-5.0,3.6454849498327757,3.908008756910225e-13
0.08,0.22,0.057,1,1,-5.0,3.5953177257525084,3.9059038277718955e-13
0.08,0.22,0.057,1,1,-5.0,3.5451505016722407,3.903746215160301e-13
0.08,0.22,0.057,1,1,-5.0,3.494983277591973,3.901523029067397e-13
0.08,0.22,0.057,1,1,-5.0,3.4448160535117056,3.899299842974493e-13
0.08,0.22,0.057,1,1,-5.0,3.3946488294314383,3.8970766568815893e-13
0.08,0.22,0.057,1,1,-5.0,3.3444816053511706,3.8898729839712986e-13
0.08,0.22,0.057,1,1,-5.0,3.294314381270903,3.881841649986399e-13
0.08,0.22,0.057,1,1,-5.0,3.2441471571906355,3.8738103160014994e-13
0.08,0.22,0.057,1,1,-5.0,3.1939799331103678,3.8437878876805524e-13
0.08,0.22,0.057,1,1,-5.0,3.1438127090301,3.7541569457696843e-13
0.08,0.22,0.057,1,1,-5.0,3.0936454849498327,3.6645260038588183e-13
0.08,0.22,0.057,1,1,-5.0,3.0434782608695654,3.574895061947952e-13
0.08,0.22,0.057,1,1,-5.0,2.9933110367892977,2.305449282958478e-12
0.08,0.22,0.057,1,1,-5.0,2.94314381270903,5.167979763169131e-12
0.08,0.22,0.057,1,1,-5.0,2.8929765886287626,8.030510243379758e-12
0.08,0.22,0.057,1,1,-5.0,2.842809364548495,1.2460352629313978e-10
0.08,0.22,0.057,1,1,-5.0,2.7926421404682276,1.3436209826508136e-09
0.08,0.22,0.057,1,1,-5.0,2.74247491638796,2.562638439008498e-09
0.08,0.22,0.057,1,1,-5.0,2.692307692307692,3.781655895366183e-09
0.08,0.22,0.057,1,1,-5.0,2.6421404682274248,1.898761910681199e-07
0.08,0.22,0.057,1,1,-5.0,2.591973244147157,5.56823235658794e-07
0.08,0.22,0.057,1,1,-5.0,2.5418060200668897,9.237702802494648e-07
0.08,0.22,0.057,1,1,-5.0,2.491638795986622,1.290717324840139e-06
0.08,0.22,0.057,1,1,-5.0,2.4414715719063547,8.308508522178924e-06
0.08,0.22,0.057,1,1,-5.0,2.391304347826087,1.5924332027530563e-05
0.08,0.22,0.057,1,1,-5.0,2.341137123745819,2.35401555328822e-05
0.08,0.22,0.057,1,1,-5.0,2.290969899665552,3.665995247506708e-05
0.08,0.22,0.057,1,1,-5.0,2.240802675585284,6.097979248067155e-05
0.08,0.22,0.057,1,1,-5.0,2.190635451505017,8.529963248627581e-05
0.08,0.22,0.057,1,1,-5.0,2.140468227424749,0.0001096194724918
0.08,0.22,0.057,1,1,-5.0,2.0903010033444813,0.0001430434066554
0.08,0.22,0.057,1,1,-5.0,2.040133779264214,0.0001846682460659
0.08,0.22,0.057,1,1,-5.0,1.9899665551839463,0.0002328496570394
0.08,0.22,0.057,1,1,-5.0,1.939799331103679,0.0002851704950768
0.08,0.22,0.057,1,1,-5.0,1.8896321070234112,0.0003482744978185
0.08,0.22,0.057,1,1,-5.0,1.839464882943144,0.0004113785005603
0.08,0.22,0.057,1,1,-5.0,1.7892976588628762,0.0004901282551585
0.08,0.22,0.057,1,1,-5.0,1.7391304347826084,0.0005721530870226
0.08,0.22,0.057,1,1,-5.0,1.6889632107023411,0.0006541779188867
0.08,0.22,0.057,1,1,-5.0,1.6387959866220734,0.0007466578052486
0.08,0.22,0.057,1,1,-5.0,1.588628762541806,0.0008535100456639
0.08,0.22,0.057,1,1,-5.0,1.5384615384615383,0.0009603622860791
0.08,0.22,0.057,1,1,-5.0,1.488294314381271,0.0010672145264943
0.08,0.22,0.057,1,1,-5.0,1.4381270903010033,0.0011967154629929
0.08,0.22,0.057,1,1,-5.0,1.3879598662207355,0.0013307534448762
0.08,0.22,0.057,1,1,-5.0,1.3377926421404682,0.0014647914267594
0.08,0.22,0.057,1,1,-5.0,1.2876254180602005,0.0016059051183006
0.08,0.22,0.057,1,1,-5.0,1.2374581939799332,0.0017688106604635
0.08,0.22,0.057,1,1,-5.0,1.1872909698996654,0.0019317162026264
0.08,0.22,0.057,1,1,-5.0,1.1371237458193977,0.0020946217447894
0.08,0.22,0.057,1,1,-5.0,1.0869565217391304,0.0022775541984932
0.08,0.22,0.057,1,1,-5.0,1.0367892976588626,0.0024709370284606
0.08,0.22,0.057,1,1,-5.0,0.9866220735785953,0.002664319858428
