sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.24,0.18,0.057,1,1,-5.0,5.0,3.301160367701203e-12
0.24,0.18,0.057,1,1,-5.0,4.949832775919733,3.3201734249980786e-12
0.24,0.18,0.057,1,1,-5.0,4.8996655518394645,3.3391864822949547e-12
0.24,0.18,0.057,1,1,-5.0,4.849498327759197,3.35819953959183e-12
0.24,0.18,0.057,1,1,-5.0,4.79933110367893,3.373985558082805e-12
0.24,0.18,0.057,1,1,-5.0,4.749163879598663,3.387251440302387e-12
0.24,0.18,0.057,1,1,-5.0,4.698996655518394,3.4005173225219694e-12
0.24,0.18,0.057,1,1,-5.0,4.648829431438127,3.4137832047415518e-12
0.24,0.18,0.057,1,1,-5.0,4.59866220735786,3.423488173868312e-12
0.24,0.18,0.057,1,1,-5.0,4.548494983277592,3.4330962100757507e-12
0.24,0.18,0.057,1,1,-5.0,4.498327759197324,3.442704246283189e-12
0.24,0.18,0.057,1,1,-5.0,4.448160535117057,3.451380384312309e-12
0.24,0.18,0.057,1,1,-5.0,4.397993311036789,3.4585710452193097e-12
0.24,0.18,0.057,1,1,-5.0,4.3478260869565215,3.465761706126312e-12
0.24,0.18,0.057,1,1,-5.0,4.297658862876254,3.4729523670333127e-12
0.24,0.18,0.057,1,1,-5.0,4.247491638795987,3.481254577451675e-12
0.24,0.18,0.057,1,1,-5.0,4.197324414715719,3.4898227643534417e-12
0.24,0.18,0.057,1,1,-5.0,4.147157190635451,3.49375964747394e-12
0.24,0.18,0.057,1,1,-5.0,4.096989966555184,3.4976965305944377e-12
0.24,0.18,0.057,1,1,-5.0,4.046822742474916,3.5014828334596357e-12
0.24,0.18,0.057,1,1,-5.0,3.9966555183946486,3.5049378597631718e-12
0.24,0.18,0.057,1,1,-5.0,3.9464882943143813,3.508392886066709e-12
0.24,0.18,0.057,1,1,-5.0,3.896321070234114,3.5118479123702456e-12
0.24,0.18,0.057,1,1,-5.0,3.846153846153846,3.5151732303945695e-12
0.24,0.18,0.057,1,1,-5.0,3.7959866220735785,3.5184492252568188e-12
0.24,0.18,0.057,1,1,-5.0,3.745819397993311,3.521725220119068e-12
0.24,0.18,0.057,1,1,-5.0,3.6956521739130435,3.5241699768771268e-12
0.24,0.18,0.057,1,1,-5.0,3.6454849498327757,3.521356315298426e-12
0.24,0.18,0.057,1,1,-5.0,3.5953177257525084,3.518542653719725e-12
0.24,0.18,0.057,1,1,-5.0,3.5451505016722407,3.515728992141024e-12
0.24,0.18,0.057,1,1,-5.0,3.494983277591973,3.308202469070114e-12
0.24,0.18,0.057,1,1,-5.0,3.4448160535117056,2.932165723640537e-12
0.24,0.18,0.057,1,1,-5.0,3.3946488294314383,2.5561289782109598e-12
0.24,0.18,0.057,1,1,-5.0,3.3444816053511706,2.18009223278138e-12
0.24,0.18,0.057,1,1,-5.0,3.294314381270903,4.491253305271013e-10
0.24,0.18,0.057,1,1,-5.0,3.2441471571906355,9.1446639429156e-10
0.24,0.18,0.057,1,1,-5.0,3.1939799331103678,1.3798074580560227e-09
0.24,0.18,0.057,1,1,-5.0,3.1438127090301,4.7114533987822034e-08
0.24,0.18,0.057,1,1,-5.0,3.0936454849498327,1.691084266381646e-07
0.24,0.18,0.057,1,1,-5.0,3.0434782608695654,2.911023192885072e-07
0.24,0.18,0.057,1,1,-5.0,2.9933110367892977,4.130962119388509e-07
0.24,0.18,0.057,1,1,-5.0,2.94314381270903,3.7278332147843353e-06
0.24,0.18,0.057,1,1,-5.0,2.8929765886287626,7.919607999971472e-06
0.24,0.18,0.057,1,1,-5.0,2.842809364548495,1.2111382785158644e-05
0.24,0.18,0.057,1,1,-5.0,2.7926421404682276,1.76731327506654e-05
0.24,0.18,0.057,1,1,-5.0,2.74247491638796,3.016782226545267e-05
0.24,0.18,0.057,1,1,-5.0,2.692307692307692,4.5775657415073126e-05
0.24,0.18,0.057,1,1,-5.0,2.6421404682274248,6.827483818054022e-05
0.24,0.18,0.057,1,1,-5.0,2.591973244147157,9.11063060511741e-05
0.24,0.18,0.057,1,1,-5.0,2.5418060200668897,0.0001249676184347
0.24,0.18,0.057,1,1,-5.0,2.491638795986622,0.0001595862565034
0.24,0.18,0.057,1,1,-5.0,2.4414715719063547,0.0001942048945722
0.24,0.18,0.057,1,1,-5.0,2.391304347826087,0.0002441202973951
0.24,0.18,0.057,1,1,-5.0,2.341137123745819,0.0002955786379592
0.24,0.18,0.057,1,1,-5.0,2.290969899665552,0.0003470369785233
0.24,0.18,0.057,1,1,-5.0,2.240802675585284,0.0004048589242215
0.24,0.18,0.057,1,1,-5.0,2.190635451505017,0.0004761802538893
0.24,0.18,0.057,1,1,-5.0,2.140468227424749,0.0005475015835572
0.24,0.18,0.057,1,1,-5.0,2.0903010033444813,0.000618822913225
0.24,0.18,0.057,1,1,-5.0,2.040133779264214,0.000705868066474
0.24,0.18,0.057,1,1,-5.0,1.9899665551839463,0.0007986590306613
0.24,0.18,0.057,1,1,-5.0,1.939799331103679,0.0008914499948487
0.24,0.18,0.057,1,1,-5.0,1.8896321070234112,0.0009875688196422
0.24,0.18,0.057,1,1,-5.0,1.839464882943144,0.0011034099005829
0.24,0.18,0.057,1,1,-5.0,1.7892976588628762,0.0012192509815235
0.24,0.18,0.057,1,1,-5.0,1.7391304347826084,0.0013350920624642
0.24,0.18,0.057,1,1,-5.0,1.6889632107023411,0.0014646314328335
0.24,0.18,0.057,1,1,-5.0,1.6387959866220734,0.0016050931193524
0.24,0.18,0.057,1,1,-5.0,1.588628762541806,0.0017455548058714
0.24,0.18,0.057,1,1,-5.0,1.5384615384615383,0.0018860164923904
0.24,0.18,0.057,1,1,-5.0,1.488294314381271,0.0020518287149048
0.24,0.18,0.057,1,1,-5.0,1.4381270903010033,0.0022184688302302
0.24,0.18,0.057,1,1,-5.0,1.3879598662207355,0.0023851089455556
0.24,0.18,0.057,1,1,-5.0,1.3377926421404682,0.0025622872732591
0.24,0.18,0.057,1,1,-5.0,1.2876254180602005,0.0027566321861609
0.24,0.18,0.057,1,1,-5.0,1.2374581939799332,0.0029509770990627
0.24,0.18,0.057,1,1,-5.0,1.1872909698996654,0.0031453220119645
0.24,0.18,0.057,1,1,-5.0,1.1371237458193977,0.0033627819018819
0.24,0.18,0.057,1,1,-5.0,1.0869565217391304,0.003586298579435
0.24,0.18,0.057,1,1,-5.0,1.0367892976588626,0.0038098152569881
0.24,0.18,0.057,1,1,-5.0,0.9866220735785953,0.0040395709415295
0.24,0.18,0.057,1,1,-5.0,0.936454849498328,0.0042936148704009
0.24,0.18,0.057,1,1,-5.0,0.8862876254180598,0.0045476587992724
0.24,0.18,0.057,1,1,-5.0,0.8361204013377925,0.0048017027281439
0.24,0.18,0.057,1,1,-5.0,0.7859531772575252,0.0050752745043024
0.24,0.18,0.057,1,1,-5.0,0.735785953177257,0.0053610001971764
0.24,0.18,0.057,1,1,-5.0,0.6856187290969897,0.0056467258900503
0.24,0.18,0.057,1,1,-5.0,0.6354515050167224,0.0059333747566863
0.24,0.18,0.057,1,1,-5.0,0.5852842809364551,0.0062516352076927
0.24,0.18,0.057,1,1,-5.0,0.5351170568561869,0.0065698956586991
0.24,0.18,0.057,1,1,-5.0,0.48494983277591963,0.0068881561097055
0.24,0.18,0.057,1,1,-5.0,0.43478260869565233,0.0072209367830242
0.24,0.18,0.057,1,1,-5.0,0.38461538461538414,0.0075721696378055
0.24,0.18,0.057,1,1,-5.0,0.33444816053511683,0.0079234024925868
0.24,0.18,0.057,1,1,-5.0,0.28428093645484953,0.008274635347368
0.24,0.18,0.057,1,1,-5.0,0.23411371237458223,0.0086539670318972
0.24,0.18,0.057,1,1,-5.0,0.18394648829431404,0.0090381652244088
0.24,0.18,0.057,1,1,-5.0,0.13377926421404673,0.0094223634169205
0.24,0.18,0.057,1,1,-5.0,0.08361204013377943,0.0098151928400765
0.24,0.18,0.057,1,1,-5.0,0.03344481605351124,0.0102320387135127
