sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.14,0.1,0.057,0,1,-5.0,5.0,2.2873507612551153e-13
0.14,0.1,0.057,0,1,-5.0,4.949832775919733,2.4103204245788204e-13
0.14,0.1,0.057,0,1,-5.0,4.8996655518394645,2.5332900879025285e-13
0.14,0.1,0.057,0,1,-5.0,4.849498327759197,2.656259751226234e-13
0.14,0.1,0.057,0,1,-5.0,4.79933110367893,2.7524120201118695e-13
0.14,0.1,0.057,0,1,-5.0,4.749163879598663,2.827621408390035e-13
0.14,0.1,0.057,0,1,-5.0,4.698996655518394,2.9028307966682024e-13
0.14,0.1,0.057,0,1,-5.0,4.648829431438127,2.978040184946368e-13
0.14,0.1,0.057,0,1,-5.0,4.59866220735786,3.061320572923889e-13
0.14,0.1,0.057,0,1,-5.0,4.548494983277592,3.1448206645398625e-13
0.14,0.1,0.057,0,1,-5.0,4.498327759197324,3.228320756155835e-13
0.14,0.1,0.057,0,1,-5.0,4.448160535117057,3.327627062359784e-13
0.14,0.1,0.057,0,1,-5.0,4.397993311036789,3.452129007641068e-13
0.14,0.1,0.057,0,1,-5.0,4.3478260869565215,3.576630952922349e-13
0.14,0.1,0.057,0,1,-5.0,4.297658862876254,3.701132898203629e-13
0.14,0.1,0.057,0,1,-5.0,4.247491638795987,3.793027454233672e-13
0.14,0.1,0.057,0,1,-5.0,4.197324414715719,3.8766423910494507e-13
0.14,0.1,0.057,0,1,-5.0,4.147157190635451,3.960257327865228e-13
0.14,0.1,0.057,0,1,-5.0,4.096989966555184,4.032757084526856e-13
0.14,0.1,0.057,0,1,-5.0,4.046822742474916,4.0633162688168587e-13
0.14,0.1,0.057,0,1,-5.0,3.9966555183946486,4.0938754531068613e-13
0.14,0.1,0.057,0,1,-5.0,3.9464882943143813,4.124434637396864e-13
0.14,0.1,0.057,0,1,-5.0,3.896321070234114,4.1428443213781053e-13
0.14,0.1,0.057,0,1,-5.0,3.846153846153846,4.153854832604937e-13
0.14,0.1,0.057,0,1,-5.0,3.7959866220735785,4.1648653438317683e-13
0.14,0.1,0.057,0,1,-5.0,3.745819397993311,4.175777805742672e-13
0.14,0.1,0.057,0,1,-5.0,3.6956521739130435,4.183861471717956e-13
0.14,0.1,0.057,0,1,-5.0,3.6454849498327757,4.1919451376932413e-13
0.14,0.1,0.057,0,1,-5.0,3.5953177257525084,4.200028803668525e-13
0.14,0.1,0.057,0,1,-5.0,3.5451505016722407,4.2039925217719044e-13
0.14,0.1,0.057,0,1,-5.0,3.494983277591973,4.202828268842799e-13
0.14,0.1,0.057,0,1,-5.0,3.4448160535117056,4.2016640159136934e-13
0.14,0.1,0.057,0,1,-5.0,3.3946488294314383,4.2004997629845874e-13
0.14,0.1,0.057,0,1,-5.0,3.3444816053511706,4.2062493632444953e-13
0.14,0.1,0.057,0,1,-5.0,3.294314381270903,4.2131479128681733e-13
0.14,0.1,0.057,0,1,-5.0,3.2441471571906355,4.2200464624918523e-13
0.14,0.1,0.057,0,1,-5.0,3.1939799331103678,4.2272709804209464e-13
0.14,0.1,0.057,0,1,-5.0,3.1438127090301,4.2353790599348453e-13
0.14,0.1,0.057,0,1,-5.0,3.0936454849498327,4.243487139448744e-13
0.14,0.1,0.057,0,1,-5.0,3.0434782608695654,4.251595218962643e-13
0.14,0.1,0.057,0,1,-5.0,2.9933110367892977,4.280075156327285e-13
0.14,0.1,0.057,0,1,-5.0,2.94314381270903,4.3180759106038294e-13
0.14,0.1,0.057,0,1,-5.0,2.8929765886287626,4.356076664880373e-13
0.14,0.1,0.057,0,1,-5.0,2.842809364548495,4.3920318105114506e-13
0.14,0.1,0.057,0,1,-5.0,2.7926421404682276,4.4081543974568023e-13
0.14,0.1,0.057,0,1,-5.0,2.74247491638796,4.424276984402153e-13
0.14,0.1,0.057,0,1,-5.0,2.692307692307692,4.440399571347504e-13
0.14,0.1,0.057,0,1,-5.0,2.6421404682274248,4.4117643897559243e-13
0.14,0.1,0.057,0,1,-5.0,2.591973244147157,4.339345397004081e-13
0.14,0.1,0.057,0,1,-5.0,2.5418060200668897,4.2669264042522405e-13
0.14,0.1,0.057,0,1,-5.0,2.491638795986622,4.1945074115003974e-13
0.14,0.1,0.057,0,1,-5.0,2.4414715719063547,4.222605372903581e-13
0.14,0.1,0.057,0,1,-5.0,2.391304347826087,4.259741643535964e-13
0.14,0.1,0.057,0,1,-5.0,2.341137123745819,4.2968779141683474e-13
0.14,0.1,0.057,0,1,-5.0,2.290969899665552,4.332256055969446e-13
0.14,0.1,0.057,0,1,-5.0,2.240802675585284,4.364056579010678e-13
0.14,0.1,0.057,0,1,-5.0,2.190635451505017,4.39585710205191e-13
0.14,0.1,0.057,0,1,-5.0,2.140468227424749,4.4276576250931423e-13
0.14,0.1,0.057,0,1,-5.0,2.0903010033444813,4.4466223838745193e-13
0.14,0.1,0.057,0,1,-5.0,2.040133779264214,4.461112368466857e-13
0.14,0.1,0.057,0,1,-5.0,1.9899665551839463,4.4756023530591963e-13
0.14,0.1,0.057,0,1,-5.0,1.939799331103679,4.4887014538793794e-13
0.14,0.1,0.057,0,1,-5.0,1.8896321070234112,4.4941303064055614e-13
0.14,0.1,0.057,0,1,-5.0,1.839464882943144,4.499559158931743e-13
0.14,0.1,0.057,0,1,-5.0,1.7892976588628762,4.5049880114579243e-13
0.14,0.1,0.057,0,1,-5.0,1.7391304347826084,4.5077523463689046e-13
0.14,0.1,0.057,0,1,-5.0,1.6889632107023411,4.508469408240439e-13
0.14,0.1,0.057,0,1,-5.0,1.6387959866220734,4.509186470111975e-13
0.14,0.1,0.057,0,1,-5.0,1.588628762541806,4.5099035319835117e-13
0.14,0.1,0.057,0,1,-5.0,1.5384615384615383,4.507989799371225e-13
0.14,0.1,0.057,0,1,-5.0,1.488294314381271,4.50601551138719e-13
0.14,0.1,0.057,0,1,-5.0,1.4381270903010033,4.5040412234031543e-13
0.14,0.1,0.057,0,1,-5.0,1.3879598662207355,4.5011594821616814e-13
0.14,0.1,0.057,0,1,-5.0,1.3377926421404682,4.4968554040430194e-13
0.14,0.1,0.057,0,1,-5.0,1.2876254180602005,4.4925513259243574e-13
0.14,0.1,0.057,0,1,-5.0,1.2374581939799332,4.488247247805695e-13
0.14,0.1,0.057,0,1,-5.0,1.1872909698996654,4.4820219586507614e-13
0.14,0.1,0.057,0,1,-5.0,1.1371237458193977,4.4753208611481054e-13
