sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.18,0.3,0.055,1,1,-5.0,5.0,0.0010874238394953
0.18,0.3,0.055,1,1,-5.0,4.949832775919733,0.0011873708358526
0.18,0.3,0.055,1,1,-5.0,4.8996655518394645,0.0012873178322098
0.18,0.3,0.055,1,1,-5.0,4.849498327759197,0.0013872648285671
0.18,0.3,0.055,1,1,-5.0,4.79933110367893,0.0014872118249243
0.18,0.3,0.055,1,1,-5.0,4.749163879598663,0.0015963487894108
0.18,0.3,0.055,1,1,-5.0,4.698996655518394,0.0017136002042699
0.18,0.3,0.055,1,1,-5.0,4.648829431438127,0.0018353717247324
0.18,0.3,0.055,1,1,-5.0,4.59866220735786,0.0019631724375693
0.18,0.3,0.055,1,1,-5.0,4.548494983277592,0.0020964281339831
0.18,0.3,0.055,1,1,-5.0,4.498327759197324,0.002229683830397
0.18,0.3,0.055,1,1,-5.0,4.448160535117057,0.0023758659648043
0.18,0.3,0.055,1,1,-5.0,4.397993311036789,0.0025270284151485
0.18,0.3,0.055,1,1,-5.0,4.3478260869565215,0.0026781908654928
0.18,0.3,0.055,1,1,-5.0,4.297658862876254,0.002829353315837
0.18,0.3,0.055,1,1,-5.0,4.247491638795987,0.0029932881920644
0.18,0.3,0.055,1,1,-5.0,4.197324414715719,0.0031691465716088
0.18,0.3,0.055,1,1,-5.0,4.147157190635451,0.0033450049511532
0.18,0.3,0.055,1,1,-5.0,4.096989966555184,0.0035208633306976
0.18,0.3,0.055,1,1,-5.0,4.046822742474916,0.003696721710242
0.18,0.3,0.055,1,1,-5.0,3.9966555183946486,0.0038877232665493
0.18,0.3,0.055,1,1,-5.0,3.9464882943143813,0.004091947401591
0.18,0.3,0.055,1,1,-5.0,3.896321070234114,0.0042961715366327
0.18,0.3,0.055,1,1,-5.0,3.846153846153846,0.0045003956716744
0.18,0.3,0.055,1,1,-5.0,3.7959866220735785,0.0047046198067161
0.18,0.3,0.055,1,1,-5.0,3.745819397993311,0.0049253789866024
0.18,0.3,0.055,1,1,-5.0,3.6956521739130435,0.0051596383970477
0.18,0.3,0.055,1,1,-5.0,3.6454849498327757,0.005393897807493
0.18,0.3,0.055,1,1,-5.0,3.5953177257525084,0.0056281572179383
0.18,0.3,0.055,1,1,-5.0,3.5451505016722407,0.0058624166283837
0.18,0.3,0.055,1,1,-5.0,3.494983277591973,0.0061146452539012
0.18,0.3,0.055,1,1,-5.0,3.4448160535117056,0.0063805859250798
0.18,0.3,0.055,1,1,-5.0,3.3946488294314383,0.0066465265962585
0.18,0.3,0.055,1,1,-5.0,3.3444816053511706,0.0069124672674371
0.18,0.3,0.055,1,1,-5.0,3.294314381270903,0.0071784079386158
0.18,0.3,0.055,1,1,-5.0,3.2441471571906355,0.0074637602580755
0.18,0.3,0.055,1,1,-5.0,3.1939799331103678,0.0077629483553912
0.18,0.3,0.055,1,1,-5.0,3.1438127090301,0.0080621364527069
0.18,0.3,0.055,1,1,-5.0,3.0936454849498327,0.0083613245500226
0.18,0.3,0.055,1,1,-5.0,3.0434782608695654,0.0086605126473383
0.18,0.3,0.055,1,1,-5.0,2.9933110367892977,0.0089805618414985
0.18,0.3,0.055,1,1,-5.0,2.94314381270903,0.0093144882787459
0.18,0.3,0.055,1,1,-5.0,2.8929765886287626,0.0096484147159933
0.18,0.3,0.055,1,1,-5.0,2.842809364548495,0.0099823411532407
0.18,0.3,0.055,1,1,-5.0,2.7926421404682276,0.0103162675904881
0.18,0.3,0.055,1,1,-5.0,2.74247491638796,0.0106724314103468
0.18,0.3,0.055,1,1,-5.0,2.692307692307692,0.0110423880371415
0.18,0.3,0.055,1,1,-5.0,2.6421404682274248,0.0114123446639363
0.18,0.3,0.055,1,1,-5.0,2.591973244147157,0.0117823012907311
0.18,0.3,0.055,1,1,-5.0,2.5418060200668897,0.0121522579175259
0.18,0.3,0.055,1,1,-5.0,2.491638795986622,0.0125455978035012
0.18,0.3,0.055,1,1,-5.0,2.4414715719063547,0.0129524450281815
0.18,0.3,0.055,1,1,-5.0,2.391304347826087,0.0133592922528618
0.18,0.3,0.055,1,1,-5.0,2.341137123745819,0.0137661394775421
0.18,0.3,0.055,1,1,-5.0,2.290969899665552,0.0141729867022223
0.18,0.3,0.055,1,1,-5.0,2.240802675585284,0.0146040210619793
0.18,0.3,0.055,1,1,-5.0,2.190635451505017,0.0150480494710849
0.18,0.3,0.055,1,1,-5.0,2.140468227424749,0.0154920778801906
0.18,0.3,0.055,1,1,-5.0,2.0903010033444813,0.0159361062892962
0.18,0.3,0.055,1,1,-5.0,2.040133779264214,0.0163801346984018
0.18,0.3,0.055,1,1,-5.0,1.9899665551839463,0.0168487655388404
0.18,0.3,0.055,1,1,-5.0,1.939799331103679,0.017329668786478
0.18,0.3,0.055,1,1,-5.0,1.8896321070234112,0.0178105720341156
0.18,0.3,0.055,1,1,-5.0,1.839464882943144,0.0182914752817532
0.18,0.3,0.055,1,1,-5.0,1.7892976588628762,0.0187723785293908
0.18,0.3,0.055,1,1,-5.0,1.7391304347826084,0.0192779553517554
0.18,0.3,0.055,1,1,-5.0,1.6889632107023411,0.0197949387695955
0.18,0.3,0.055,1,1,-5.0,1.6387959866220734,0.0203119221874355
0.18,0.3,0.055,1,1,-5.0,1.588628762541806,0.0208289056052756
0.18,0.3,0.055,1,1,-5.0,1.5384615384615383,0.0213458890231157
0.18,0.3,0.055,1,1,-5.0,1.488294314381271,0.0218875246455562
0.18,0.3,0.055,1,1,-5.0,1.4381270903010033,0.0224396993145731
0.18,0.3,0.055,1,1,-5.0,1.3879598662207355,0.0229918739835899
0.18,0.3,0.055,1,1,-5.0,1.3377926421404682,0.0235440486526068
0.18,0.3,0.055,1,1,-5.0,1.2876254180602005,0.0240962233216236
0.18,0.3,0.055,1,1,-5.0,1.2374581939799332,0.0246729135687815
0.18,0.3,0.055,1,1,-5.0,1.1872909698996654,0.0252592711789971
0.18,0.3,0.055,1,1,-5.0,1.1371237458193977,0.0258456287892127
0.18,0.3,0.055,1,1,-5.0,1.0869565217391304,0.0264319863994283
0.18,0.3,0.055,1,1,-5.0,1.0367892976588626,0.0270183440096439
0.18,0.3,0.055,1,1,-5.0,0.9866220735785953,0.027628914333475
0.18,0.3,0.055,1,1,-5.0,0.936454849498328,0.0282482658472688
0.18,0.3,0.055,1,1,-5.0,0.8862876254180598,0.0288676173610626
0.18,0.3,0.055,1,1,-5.0,0.8361204013377925,0.0294869688748565
0.18,0.3,0.055,1,1,-5.0,0.7859531772575252,0.0301063203886503
0.18,0.3,0.055,1,1,-5.0,0.735785953177257,0.0307490166880538
0.18,0.3,0.055,1,1,-5.0,0.6856187290969897,0.0313994729821187
0.18,0.3,0.055,1,1,-5.0,0.6354515050167224,0.0320499292761836
0.18,0.3,0.055,1,1,-5.0,0.5852842809364551,0.0327003855702485
0.18,0.3,0.055,1,1,-5.0,0.5351170568561869,0.0333508418643134
0.18,0.3,0.055,1,1,-5.0,0.48494983277591963,0.0340224612707895
0.18,0.3,0.055,1,1,-5.0,0.43478260869565233,0.0347005028844942
0.18,0.3,0.055,1,1,-5.0,0.38461538461538414,0.035378544498199
0.18,0.3,0.055,1,1,-5.0,0.33444816053511683,0.0360565861119037
0.18,0.3,0.055,1,1,-5.0,0.28428093645484953,0.0367346277256084
0.18,0.3,0.055,1,1,-5.0,0.23411371237458223,0.0374283940912417
0.18,0.3,0.055,1,1,-5.0,0.18394648829431404,0.0381264965180381
0.18,0.3,0.055,1,1,-5.0,0.13377926421404673,0.0388245989448344
0.18,0.3,0.055,1,1,-5.0,0.08361204013377943,0.0395227013716307
0.18,0.3,0.055,1,1,-5.0,0.03344481605351124,0.040220803798427
0.18,0.3,0.055,1,1,-5.0,-0.016722408026756064,0.0409279739805814
0.18,0.3,0.055,1,1,-5.0,-0.06688963210702337,0.0416374037270181
0.18,0.3,0.055,1,1,-5.0,-0.11705685618729067,0.0423468334734549
0.18,0.3,0.055,1,1,-5.0,-0.16722408026755886,0.0430562632198917
0.18,0.3,0.055,1,1,-5.0,-0.21739130434782616,0.0437656929663285
0.18,0.3,0.055,1,1,-5.0,-0.26755852842809347,0.0444797862332776
0.18,0.3,0.055,1,1,-5.0,-0.31772575250836166,0.0451949227734579
0.18,0.3,0.055,1,1,-5.0,-0.36789297658862896,0.0459100593136382
0.18,0.3,0.055,1,1,-5.0,-0.41806020066889626,0.0466251958538185
0.18,0.3,0.055,1,1,-5.0,-0.46822742474916446,0.0473403323939989
0.18,0.3,0.055,1,1,-5.0,-0.5183946488294318,0.0480572662397732
0.18,0.3,0.055,1,1,-5.0,-0.5685618729096991,0.0487745581995291
0.18,0.3,0.055,1,1,-5.0,-0.6187290969899664,0.049491850159285
0.18,0.3,0.055,1,1,-5.0,-0.6688963210702346,0.0502091421190409
0.18,0.3,0.055,1,1,-5.0,-0.7190635451505019,0.0509264340787968
0.18,0.3,0.055,1,1,-5.0,-0.7692307692307692,0.0516430054197208
0.18,0.3,0.055,1,1,-5.0,-0.8193979933110374,0.0523594501117748
0.18,0.3,0.055,1,1,-5.0,-0.8695652173913047,0.0530758948038287
0.18,0.3,0.055,1,1,-5.0,-0.919732441471572,0.0537923394958827
0.18,0.3,0.055,1,1,-5.0,-0.9698996655518393,0.0545087841879366
0.18,0.3,0.055,1,1,-5.0,-1.0200668896321075,0.055221921170006
0.18,0.3,0.055,1,1,-5.0,-1.0702341137123748,0.0559345515658615
0.18,0.3,0.055,1,1,-5.0,-1.120401337792642,0.056647181961717
0.18,0.3,0.055,1,1,-5.0,-1.1705685618729103,0.0573598123575725
0.18,0.3,0.055,1,1,-5.0,-1.2207357859531776,0.0580724427534281
0.18,0.3,0.055,1,1,-5.0,-1.2709030100334449,0.0587790407367463
0.18,0.3,0.055,1,1,-5.0,-1.3210702341137122,0.0594848460105797
0.18,0.3,0.055,1,1,-5.0,-1.3712374581939804,0.0601906512844131
0.18,0.3,0.055,1,1,-5.0,-1.4214046822742477,0.0608964565582465
0.18,0.3,0.055,1,1,-5.0,-1.471571906354515,0.0616022618320799
0.18,0.3,0.055,1,1,-5.0,-1.5217391304347831,0.0622992694901595
0.18,0.3,0.055,1,1,-5.0,-1.5719063545150505,0.0629953052890088
0.18,0.3,0.055,1,1,-5.0,-1.6220735785953178,0.0636913410878582
0.18,0.3,0.055,1,1,-5.0,-1.672240802675585,0.0643873768867076
0.18,0.3,0.055,1,1,-5.0,-1.7224080267558532,0.065083412685557
0.18,0.3,0.055,1,1,-5.0,-1.7725752508361206,0.0657680950793015
0.18,0.3,0.055,1,1,-5.0,-1.8227424749163879,0.0664517523785477
0.18,0.3,0.055,1,1,-5.0,-1.872909698996656,0.0671354096777938
0.18,0.3,0.055,1,1,-5.0,-1.9230769230769234,0.0678190669770399
0.18,0.3,0.055,1,1,-5.0,-1.9732441471571907,0.068502724276286
0.18,0.3,0.055,1,1,-5.0,-2.023411371237458,0.0691731151460639
0.18,0.3,0.055,1,1,-5.0,-2.073578595317726,0.0698425663412504
0.18,0.3,0.055,1,1,-5.0,-2.1237458193979935,0.0705120175364369
0.18,0.3,0.055,1,1,-5.0,-2.1739130434782608,0.0711814687316233
0.18,0.3,0.055,1,1,-5.0,-2.224080267558529,0.0718509199268098
0.18,0.3,0.055,1,1,-5.0,-2.2742474916387962,0.0725063186015552
0.18,0.3,0.055,1,1,-5.0,-2.3244147157190636,0.0731609857752365
0.18,0.3,0.055,1,1,-5.0,-2.374581939799331,0.0738156529489179
0.18,0.3,0.055,1,1,-5.0,-2.424749163879599,0.0744703201225992
0.18,0.3,0.055,1,1,-5.0,-2.4749163879598663,0.0751249872962805
0.18,0.3,0.055,1,1,-5.0,-2.5250836120401337,0.0757660725806076
0.18,0.3,0.055,1,1,-5.0,-2.575250836120402,0.0764066970900131
0.18,0.3,0.055,1,1,-5.0,-2.625418060200669,0.0770473215994186
0.18,0.3,0.055,1,1,-5.0,-2.6755852842809364,0.0776879461088241
0.18,0.3,0.055,1,1,-5.0,-2.7257525083612046,0.0783285706182295
0.18,0.3,0.055,1,1,-5.0,-2.775919732441472,0.0789575272058839
0.18,0.3,0.055,1,1,-5.0,-2.8260869565217392,0.0795862923136154
0.18,0.3,0.055,1,1,-5.0,-2.8762541806020065,0.080215057421347
0.18,0.3,0.055,1,1,-5.0,-2.9264214046822747,0.0808438225290785
0.18,0.3,0.055,1,1,-5.0,-2.976588628762542,0.081472583538476
0.18,0.3,0.055,1,1,-5.0,-3.0267558528428093,0.0820934798448701
0.18,0.3,0.055,1,1,-5.0,-3.0769230769230766,0.0827143761512642
0.18,0.3,0.055,1,1,-5.0,-3.127090301003344,0.0833352724576583
0.18,0.3,0.055,1,1,-5.0,-3.177257525083613,0.0839561687640525
0.18,0.3,0.055,1,1,-5.0,-3.2274247491638803,0.0845770050656898
0.18,0.3,0.055,1,1,-5.0,-3.2775919732441476,0.0851944101862303
0.18,0.3,0.055,1,1,-5.0,-3.327759197324415,0.0858118153067708
0.18,0.3,0.055,1,1,-5.0,-3.3779264214046822,0.0864292204273113
0.18,0.3,0.055,1,1,-5.0,-3.4280936454849495,0.0870466255478518
0.18,0.3,0.055,1,1,-5.0,-3.478260869565217,0.0876638863351806
0.18,0.3,0.055,1,1,-5.0,-3.528428093645486,0.0882770280746967
0.18,0.3,0.055,1,1,-5.0,-3.5785953177257532,0.0888901698142127
0.18,0.3,0.055,1,1,-5.0,-3.6287625418060205,0.0895033115537288
0.18,0.3,0.055,1,1,-5.0,-3.678929765886288,0.0901164532932448
0.18,0.3,0.055,1,1,-5.0,-3.729096989966555,0.0907293225693742
0.18,0.3,0.055,1,1,-5.0,-3.7792642140468224,0.0913370712191753
0.18,0.3,0.055,1,1,-5.0,-3.8294314381270897,0.0919448198689765
0.18,0.3,0.055,1,1,-5.0,-3.879598662207359,0.0925525685187776
0.18,0.3,0.055,1,1,-5.0,-3.929765886287626,0.0931603171685788
0.18,0.3,0.055,1,1,-5.0,-3.9799331103678934,0.0937675699751248
0.18,0.3,0.055,1,1,-5.0,-4.030100334448161,0.0943679386322915
0.18,0.3,0.055,1,1,-5.0,-4.080267558528428,0.0949683072894583
0.18,0.3,0.055,1,1,-5.0,-4.130434782608695,0.095568675946625
0.18,0.3,0.055,1,1,-5.0,-4.180602006688963,0.0961690446037918
0.18,0.3,0.055,1,1,-5.0,-4.230769230769232,0.096768620360479
0.18,0.3,0.055,1,1,-5.0,-4.280936454849499,0.097359533310063
0.18,0.3,0.055,1,1,-5.0,-4.331103678929766,0.097950446259647
0.18,0.3,0.055,1,1,-5.0,-4.381270903010034,0.0985413592092309
0.18,0.3,0.055,1,1,-5.0,-4.431438127090301,0.0991322721588149
0.18,0.3,0.055,1,1,-5.0,-4.481605351170568,0.0997220196149169
0.18,0.3,0.055,1,1,-5.0,-4.5317725752508355,0.100301338017944
0.18,0.3,0.055,1,1,-5.0,-4.581939799331105,0.1008806564209712
0.18,0.3,0.055,1,1,-5.0,-4.632107023411372,0.1014599748239984
0.18,0.3,0.055,1,1,-5.0,-4.682274247491639,0.1020392932270255
0.18,0.3,0.055,1,1,-5.0,-4.7324414715719065,0.1026169984428536
0.18,0.3,0.055,1,1,-5.0,-4.782608695652174,0.1031825509817815
0.18,0.3,0.055,1,1,-5.0,-4.832775919732441,0.1037481035207095
0.18,0.3,0.055,1,1,-5.0,-4.882943143812708,0.1043136560596375
0.18,0.3,0.055,1,1,-5.0,-4.9331103678929775,0.1048792085985654
0.18,0.3,0.055,1,1,-5.0,-4.983277591973245,0.1054426108315527
0.18,0.3,0.055,1,1,-5.0,-5.033444816053512,0.1059920988280445
0.18,0.3,0.055,1,1,-5.0,-5.083612040133779,0.1065415868245363
0.18,0.3,0.055,1,1,-5.0,-5.133779264214047,0.107091074821028
0.18,0.3,0.055,1,1,-5.0,-5.183946488294314,0.1076405628175198
0.18,0.3,0.055,1,1,-5.0,-5.234113712374581,0.1081872059774643
0.18,0.3,0.055,1,1,-5.0,-5.28428093645485,0.1087177940218079
0.18,0.3,0.055,1,1,-5.0,-5.334448160535118,0.1092483820661516
0.18,0.3,0.055,1,1,-5.0,-5.384615384615385,0.1097789701104953
0.18,0.3,0.055,1,1,-5.0,-5.434782608695652,0.110309558154839
0.18,0.3,0.055,1,1,-5.0,-5.48494983277592,0.1108359710531425
0.18,0.3,0.055,1,1,-5.0,-5.535117056856187,0.1113415862613578
0.18,0.3,0.055,1,1,-5.0,-5.585284280936454,0.1118472014695732
0.18,0.3,0.055,1,1,-5.0,-5.635451505016723,0.1123528166777886
0.18,0.3,0.055,1,1,-5.0,-5.685618729096991,0.112858431886004
0.18,0.3,0.055,1,1,-5.0,-5.735785953177258,0.113356933587174
0.18,0.3,0.055,1,1,-5.0,-5.785953177257525,0.1138238577655674
0.18,0.3,0.055,1,1,-5.0,-5.8361204013377925,0.1142907819439607
0.18,0.3,0.055,1,1,-5.0,-5.88628762541806,0.1147577061223541
0.18,0.3,0.055,1,1,-5.0,-5.936454849498329,0.1152246303007475
0.18,0.3,0.055,1,1,-5.0,-5.986622073578596,0.1156854834995371
0.18,0.3,0.055,1,1,-5.0,-6.0367892976588635,0.1161221316238022
0.18,0.3,0.055,1,1,-5.0,-6.086956521739131,0.1165587797480673
0.18,0.3,0.055,1,1,-5.0,-6.137123745819398,0.1169783256956025
0.18,0.3,0.055,1,1,-5.0,-6.187290969899665,0.1173908473104469
