sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.28,0.2,0.055,0,1,-5.0,5.0,3.3395171664507145e-13
0.28,0.2,0.055,0,1,-5.0,4.949832775919733,3.3603787567359693e-13
0.28,0.2,0.055,0,1,-5.0,4.8996655518394645,3.3785056831819445e-13
0.28,0.2,0.055,0,1,-5.0,4.849498327759197,3.39663260962792e-13
0.28,0.2,0.055,0,1,-5.0,4.79933110367893,3.414759536073896e-13
0.28,0.2,0.055,0,1,-5.0,4.749163879598663,3.429335933522291e-13
0.28,0.2,0.055,0,1,-5.0,4.698996655518394,3.44211970120592e-13
0.28,0.2,0.055,0,1,-5.0,4.648829431438127,3.454903468889549e-13
0.28,0.2,0.055,0,1,-5.0,4.59866220735786,3.467562014203666e-13
0.28,0.2,0.055,0,1,-5.0,4.548494983277592,3.4787088881681895e-13
0.28,0.2,0.055,0,1,-5.0,4.498327759197324,3.4898557621327133e-13
0.28,0.2,0.055,0,1,-5.0,4.448160535117057,3.501002636097237e-13
0.28,0.2,0.055,0,1,-5.0,4.397993311036789,3.4936439536410554e-13
0.28,0.2,0.055,0,1,-5.0,4.3478260869565215,3.466908419374862e-13
0.28,0.2,0.055,0,1,-5.0,4.297658862876254,3.4401728851086694e-13
0.28,0.2,0.055,0,1,-5.0,4.247491638795987,3.413437350842477e-13
0.28,0.2,0.055,0,1,-5.0,4.197324414715719,1.1990420352826338e-12
0.28,0.2,0.055,0,1,-5.0,4.147157190635451,2.1518064092574583e-12
0.28,0.2,0.055,0,1,-5.0,4.096989966555184,3.104570783232282e-12
0.28,0.2,0.055,0,1,-5.0,4.046822742474916,1.0900208062332369e-10
0.28,0.2,0.055,0,1,-5.0,3.9966555183946486,4.4577803048885955e-10
0.28,0.2,0.055,0,1,-5.0,3.9464882943143813,7.825539803543954e-10
0.28,0.2,0.055,0,1,-5.0,3.896321070234114,1.1193299302199314e-09
0.28,0.2,0.055,0,1,-5.0,3.846153846153846,9.072183851368516e-09
0.28,0.2,0.055,0,1,-5.0,3.7959866220735785,1.992114471673849e-08
0.28,0.2,0.055,0,1,-5.0,3.745819397993311,4.082901706134646e-07
0.28,0.2,0.055,0,1,-5.0,3.6956521739130435,8.248565576275277e-07
0.28,0.2,0.055,0,1,-5.0,3.6454849498327757,1.9711442457836333e-06
0.28,0.2,0.055,0,1,-5.0,3.5953177257525084,5.434563664705896e-06
0.28,0.2,0.055,0,1,-5.0,3.5451505016722407,1.2192244217464756e-05
0.28,0.2,0.055,0,1,-5.0,3.494983277591973,2.3050189189331103e-05
0.28,0.2,0.055,0,1,-5.0,3.4448160535117056,3.390813416119736e-05
0.28,0.2,0.055,0,1,-5.0,3.3946488294314383,5.478594336110189e-05
0.28,0.2,0.055,0,1,-5.0,3.3444816053511706,7.892402647483482e-05
0.28,0.2,0.055,0,1,-5.0,3.294314381270903,0.0001030621095885
0.28,0.2,0.055,0,1,-5.0,3.2441471571906355,0.0001300550770094
0.28,0.2,0.055,0,1,-5.0,3.1939799331103678,0.0001713396124182
0.28,0.2,0.055,0,1,-5.0,3.1438127090301,0.0002126241478271
0.28,0.2,0.055,0,1,-5.0,3.0936454849498327,0.0002539086832359
0.28,0.2,0.055,0,1,-5.0,3.0434782608695654,0.0003059678176278
0.28,0.2,0.055,0,1,-5.0,2.9933110367892977,0.0003658774161015
0.28,0.2,0.055,0,1,-5.0,2.94314381270903,0.0004257870145753
0.28,0.2,0.055,0,1,-5.0,2.8929765886287626,0.0004856966130491
0.28,0.2,0.055,0,1,-5.0,2.842809364548495,0.0005652940127503
0.28,0.2,0.055,0,1,-5.0,2.7926421404682276,0.000645080240429
0.28,0.2,0.055,0,1,-5.0,2.74247491638796,0.0007248664681076
0.28,0.2,0.055,0,1,-5.0,2.692307692307692,0.0008131171458333
0.28,0.2,0.055,0,1,-5.0,2.6421404682274248,0.0009139330630698
0.28,0.2,0.055,0,1,-5.0,2.591973244147157,0.0010147489803064
0.28,0.2,0.055,0,1,-5.0,2.5418060200668897,0.0011155648975429
0.28,0.2,0.055,0,1,-5.0,2.491638795986622,0.0012344020120532
0.28,0.2,0.055,0,1,-5.0,2.4414715719063547,0.0013573434016946
0.28,0.2,0.055,0,1,-5.0,2.391304347826087,0.001480284791336
0.28,0.2,0.055,0,1,-5.0,2.341137123745819,0.0016084751388532
0.28,0.2,0.055,0,1,-5.0,2.290969899665552,0.0017545907354521
0.28,0.2,0.055,0,1,-5.0,2.240802675585284,0.001900706332051
0.28,0.2,0.055,0,1,-5.0,2.190635451505017,0.00204682192865
0.28,0.2,0.055,0,1,-5.0,2.140468227424749,0.0022083720602118
0.28,0.2,0.055,0,1,-5.0,2.0903010033444813,0.0023786607734325
0.28,0.2,0.055,0,1,-5.0,2.040133779264214,0.0025489494866531
0.28,0.2,0.055,0,1,-5.0,1.9899665551839463,0.002720507615438
0.28,0.2,0.055,0,1,-5.0,1.939799331103679,0.0029159332705249
0.28,0.2,0.055,0,1,-5.0,1.8896321070234112,0.0031113589256119
0.28,0.2,0.055,0,1,-5.0,1.839464882943144,0.0033067845806988
0.28,0.2,0.055,0,1,-5.0,1.7892976588628762,0.0035142635457247
0.28,0.2,0.055,0,1,-5.0,1.7391304347826084,0.0037357504114906
0.28,0.2,0.055,0,1,-5.0,1.6889632107023411,0.0039572372772565
0.28,0.2,0.055,0,1,-5.0,1.6387959866220734,0.0041787241430225
0.28,0.2,0.055,0,1,-5.0,1.588628762541806,0.004423754973672
0.28,0.2,0.055,0,1,-5.0,1.5384615384615383,0.004672164612318
0.28,0.2,0.055,0,1,-5.0,1.488294314381271,0.004920574250964
0.28,0.2,0.055,0,1,-5.0,1.4381270903010033,0.005176921097192
0.28,0.2,0.055,0,1,-5.0,1.3879598662207355,0.0054530347762638
0.28,0.2,0.055,0,1,-5.0,1.3377926421404682,0.0057291484553355
0.28,0.2,0.055,0,1,-5.0,1.2876254180602005,0.0060052621344073
0.28,0.2,0.055,0,1,-5.0,1.2374581939799332,0.006301200367164
0.28,0.2,0.055,0,1,-5.0,1.1872909698996654,0.0066056956549471
0.28,0.2,0.055,0,1,-5.0,1.1371237458193977,0.0069101909427303
0.28,0.2,0.055,0,1,-5.0,1.0869565217391304,0.0072178814431034
0.28,0.2,0.055,0,1,-5.0,1.0367892976588626,0.0075512926819268
0.28,0.2,0.055,0,1,-5.0,0.9866220735785953,0.0078847039207502
0.28,0.2,0.055,0,1,-5.0,0.936454849498328,0.0082181151595736
0.28,0.2,0.055,0,1,-5.0,0.8862876254180598,0.0085668068452407
0.28,0.2,0.055,0,1,-5.0,0.8361204013377925,0.008929462958406
0.28,0.2,0.055,0,1,-5.0,0.7859531772575252,0.0092921190715714
0.28,0.2,0.055,0,1,-5.0,0.735785953177257,0.0096547751847367
0.28,0.2,0.055,0,1,-5.0,0.6856187290969897,0.0100448168244048
0.28,0.2,0.055,0,1,-5.0,0.6354515050167224,0.0104367779418534
0.28,0.2,0.055,0,1,-5.0,0.5852842809364551,0.010828739059302
0.28,0.2,0.055,0,1,-5.0,0.5351170568561869,0.0112307891031939
0.28,0.2,0.055,0,1,-5.0,0.48494983277591963,0.0116518668914745
0.28,0.2,0.055,0,1,-5.0,0.43478260869565233,0.0120729446797551
0.28,0.2,0.055,0,1,-5.0,0.38461538461538414,0.0124940224680357
0.28,0.2,0.055,0,1,-5.0,0.33444816053511683,0.0129368826417435
0.28,0.2,0.055,0,1,-5.0,0.28428093645484953,0.0133866781431779
0.28,0.2,0.055,0,1,-5.0,0.23411371237458223,0.0138364736446124
0.28,0.2,0.055,0,1,-5.0,0.18394648829431404,0.0142910717980779
0.28,0.2,0.055,0,1,-5.0,0.13377926421404673,0.0147690353466156
0.28,0.2,0.055,0,1,-5.0,0.08361204013377943,0.0152469988951533
0.28,0.2,0.055,0,1,-5.0,0.03344481605351124,0.0157249624436911
0.28,0.2,0.055,0,1,-5.0,-0.016722408026756064,0.0162189771277455
