sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.22,0.08,0.05,1,0,-5.0,5.0,2.614639835867062e-13
0.22,0.08,0.05,1,0,-5.0,4.949832775919733,2.6012678994445345e-13
0.22,0.08,0.05,1,0,-5.0,4.8996655518394645,2.587895963022006e-13
0.22,0.08,0.05,1,0,-5.0,4.849498327759197,2.5745240265994784e-13
0.22,0.08,0.05,1,0,-5.0,4.79933110367893,2.57187011214753e-13
0.22,0.08,0.05,1,0,-5.0,4.749163879598663,2.5775863715764353e-13
0.22,0.08,0.05,1,0,-5.0,4.698996655518394,2.58330263100534e-13
0.22,0.08,0.05,1,0,-5.0,4.648829431438127,2.589018890434245e-13
0.22,0.08,0.05,1,0,-5.0,4.59866220735786,2.6017304177520805e-13
0.22,0.08,0.05,1,0,-5.0,4.548494983277592,2.61463236581882e-13
0.22,0.08,0.05,1,0,-5.0,4.498327759197324,2.627534313885559e-13
0.22,0.08,0.05,1,0,-5.0,4.448160535117057,2.646691848656903e-13
0.22,0.08,0.05,1,0,-5.0,4.397993311036789,2.675820999589024e-13
0.22,0.08,0.05,1,0,-5.0,4.3478260869565215,2.7049501505211453e-13
0.22,0.08,0.05,1,0,-5.0,4.297658862876254,2.734079301453266e-13
0.22,0.08,0.05,1,0,-5.0,4.247491638795987,2.769373654047756e-13
0.22,0.08,0.05,1,0,-5.0,4.197324414715719,2.806233465371564e-13
0.22,0.08,0.05,1,0,-5.0,4.147157190635451,2.8430932766953705e-13
0.22,0.08,0.05,1,0,-5.0,4.096989966555184,2.878223685477403e-13
0.22,0.08,0.05,1,0,-5.0,4.046822742474916,2.9068285920672026e-13
0.22,0.08,0.05,1,0,-5.0,3.9966555183946486,2.9354334986570017e-13
0.22,0.08,0.05,1,0,-5.0,3.9464882943143813,2.964038405246801e-13
0.22,0.08,0.05,1,0,-5.0,3.896321070234114,2.984293795852615e-13
0.22,0.08,0.05,1,0,-5.0,3.846153846153846,2.9994642439002014e-13
0.22,0.08,0.05,1,0,-5.0,3.7959866220735785,3.014634691947788e-13
0.22,0.08,0.05,1,0,-5.0,3.745819397993311,3.0256777219286583e-13
0.22,0.08,0.05,1,0,-5.0,3.6956521739130435,2.917641660522031e-13
0.22,0.08,0.05,1,0,-5.0,3.6454849498327757,2.8096055991154024e-13
0.22,0.08,0.05,1,0,-5.0,3.5953177257525084,2.701569537708776e-13
0.22,0.08,0.05,1,0,-5.0,3.5451505016722407,8.847270945607676e-13
0.22,0.08,0.05,1,0,-5.0,3.494983277591973,2.2776804961205632e-12
0.22,0.08,0.05,1,0,-5.0,3.4448160535117056,3.670633897680346e-12
0.22,0.08,0.05,1,0,-5.0,3.3946488294314383,5.063587299240129e-12
0.22,0.08,0.05,1,0,-5.0,3.3444816053511706,2.0903433630721384e-10
0.22,0.08,0.05,1,0,-5.0,3.294314381270903,4.4666961694657385e-10
0.22,0.08,0.05,1,0,-5.0,3.2441471571906355,6.843048975859318e-10
