sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.24,0.08,0.055,1,1,-5.0,5.0,1.1659422623438788e-12
0.24,0.08,0.055,1,1,-5.0,4.949832775919733,1.347679616414967e-12
0.24,0.08,0.055,1,1,-5.0,4.8996655518394645,1.5294169704860585e-12
0.24,0.08,0.055,1,1,-5.0,4.849498327759197,1.7111543245571469e-12
0.24,0.08,0.055,1,1,-5.0,4.79933110367893,1.875430016222883e-12
0.24,0.08,0.055,1,1,-5.0,4.749163879598663,2.026069129144636e-12
0.24,0.08,0.055,1,1,-5.0,4.698996655518394,2.176708242066391e-12
0.24,0.08,0.055,1,1,-5.0,4.648829431438127,2.3273473549881437e-12
0.24,0.08,0.055,1,1,-5.0,4.59866220735786,2.4214212224494054e-12
0.24,0.08,0.055,1,1,-5.0,4.548494983277592,2.513955306649546e-12
0.24,0.08,0.055,1,1,-5.0,4.498327759197324,2.606489390849685e-12
0.24,0.08,0.055,1,1,-5.0,4.448160535117057,2.6844508130632696e-12
0.24,0.08,0.055,1,1,-5.0,4.397993311036789,2.739182920644591e-12
0.24,0.08,0.055,1,1,-5.0,4.3478260869565215,2.793915028225912e-12
0.24,0.08,0.055,1,1,-5.0,4.297658862876254,2.8486471358072318e-12
0.24,0.08,0.055,1,1,-5.0,4.247491638795987,2.8866461566253058e-12
0.24,0.08,0.055,1,1,-5.0,4.197324414715719,2.920396337230769e-12
0.24,0.08,0.055,1,1,-5.0,4.147157190635451,2.954146517836232e-12
0.24,0.08,0.055,1,1,-5.0,4.096989966555184,2.985469915649607e-12
0.24,0.08,0.055,1,1,-5.0,4.046822742474916,3.007636407510023e-12
0.24,0.08,0.055,1,1,-5.0,3.9966555183946486,3.029802899370438e-12
0.24,0.08,0.055,1,1,-5.0,3.9464882943143813,3.0519693912308528e-12
0.24,0.08,0.055,1,1,-5.0,3.896321070234114,3.069887759435022e-12
0.24,0.08,0.055,1,1,-5.0,3.846153846153846,3.0852189759032464e-12
0.24,0.08,0.055,1,1,-5.0,3.7959866220735785,3.1005501923714717e-12
0.24,0.08,0.055,1,1,-5.0,3.745819397993311,3.115733446904365e-12
0.24,0.08,0.055,1,1,-5.0,3.6956521739130435,3.1266478891836068e-12
0.24,0.08,0.055,1,1,-5.0,3.6454849498327757,3.1375623314628485e-12
0.24,0.08,0.055,1,1,-5.0,3.5953177257525084,3.1484767737420906e-12
0.24,0.08,0.055,1,1,-5.0,3.5451505016722407,3.1581345986835427e-12
0.24,0.08,0.055,1,1,-5.0,3.494983277591973,3.166228351091201e-12
0.24,0.08,0.055,1,1,-5.0,3.4448160535117056,3.17432210349886e-12
0.24,0.08,0.055,1,1,-5.0,3.3946488294314383,3.182415855906519e-12
0.24,0.08,0.055,1,1,-5.0,3.3444816053511706,3.1888735376144683e-12
0.24,0.08,0.055,1,1,-5.0,3.294314381270903,3.1950593358533705e-12
0.24,0.08,0.055,1,1,-5.0,3.2441471571906355,3.2012451340922727e-12
0.24,0.08,0.055,1,1,-5.0,3.1939799331103678,3.207131744206088e-12
0.24,0.08,0.055,1,1,-5.0,3.1438127090301,3.212207382426116e-12
0.24,0.08,0.055,1,1,-5.0,3.0936454849498327,3.2172830206461437e-12
0.24,0.08,0.055,1,1,-5.0,3.0434782608695654,3.2223586588661718e-12
0.24,0.08,0.055,1,1,-5.0,2.9933110367892977,3.2281001683878712e-12
0.24,0.08,0.055,1,1,-5.0,2.94314381270903,3.234152873815048e-12
0.24,0.08,0.055,1,1,-5.0,2.8929765886287626,3.240205579242225e-12
0.24,0.08,0.055,1,1,-5.0,2.842809364548495,3.246246160183226e-12
