sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.08,0.28,0.057,1,1,-5.0,5.0,4.009547590041838e-13
0.08,0.28,0.057,1,1,-5.0,4.949832775919733,4.006458788285908e-13
0.08,0.28,0.057,1,1,-5.0,4.8996655518394645,4.0033699865299764e-13
0.08,0.28,0.057,1,1,-5.0,4.849498327759197,4.000281184774046e-13
0.08,0.28,0.057,1,1,-5.0,4.79933110367893,3.998687854243321e-13
0.08,0.28,0.057,1,1,-5.0,4.749163879598663,3.998262402843945e-13
0.08,0.28,0.057,1,1,-5.0,4.698996655518394,3.9978369514445693e-13
0.08,0.28,0.057,1,1,-5.0,4.648829431438127,3.9974115000451933e-13
0.08,0.28,0.057,1,1,-5.0,4.59866220735786,4.00442444866705e-13
0.08,0.28,0.057,1,1,-5.0,4.548494983277592,4.01163988069986e-13
0.08,0.28,0.057,1,1,-5.0,4.498327759197324,4.0188553127326694e-13
0.08,0.28,0.057,1,1,-5.0,4.448160535117057,4.03338208307827e-13
0.08,0.28,0.057,1,1,-5.0,4.397993311036789,4.0595633732506173e-13
0.08,0.28,0.057,1,1,-5.0,4.3478260869565215,4.085744663422963e-13
0.08,0.28,0.057,1,1,-5.0,4.297658862876254,4.11192595359531e-13
0.08,0.28,0.057,1,1,-5.0,4.247491638795987,3.999001832084612e-13
0.08,0.28,0.057,1,1,-5.0,4.197324414715719,3.850756273751569e-13
0.08,0.28,0.057,1,1,-5.0,4.147157190635451,3.7025107154185293e-13
0.08,0.28,0.057,1,1,-5.0,4.096989966555184,1.65409083577271e-12
0.08,0.28,0.057,1,1,-5.0,4.046822742474916,7.838141316045393e-12
0.08,0.28,0.057,1,1,-5.0,3.9966555183946486,1.4022191796317968e-11
0.08,0.28,0.057,1,1,-5.0,3.9464882943143813,2.0206242276590543e-11
0.08,0.28,0.057,1,1,-5.0,3.896321070234114,1.7410050901970494e-10
0.08,0.28,0.057,1,1,-5.0,3.846153846153846,4.179518423042319e-10
0.08,0.28,0.057,1,1,-5.0,3.7959866220735785,1.287220416860864e-08
0.08,0.28,0.057,1,1,-5.0,3.745819397993311,2.7871827094666372e-08
0.08,0.28,0.057,1,1,-5.0,3.6956521739130435,2.4694007659767346e-07
0.08,0.28,0.057,1,1,-5.0,3.6454849498327757,1.7569479528346878e-06
0.08,0.28,0.057,1,1,-5.0,3.5953177257525084,3.266955829071689e-06
0.08,0.28,0.057,1,1,-5.0,3.5451505016722407,4.776963705308704e-06
0.08,0.28,0.057,1,1,-5.0,3.494983277591973,1.1613356137372175e-05
0.08,0.28,0.057,1,1,-5.0,3.4448160535117056,2.2834183623137656e-05
0.08,0.28,0.057,1,1,-5.0,3.3946488294314383,3.405501110890314e-05
0.08,0.28,0.057,1,1,-5.0,3.3444816053511706,4.527583859466872e-05
0.08,0.28,0.057,1,1,-5.0,3.294314381270903,7.096216698318339e-05
0.08,0.28,0.057,1,1,-5.0,3.2441471571906355,9.724338062485624e-05
0.08,0.28,0.057,1,1,-5.0,3.1939799331103678,0.0001235245942665
0.08,0.28,0.057,1,1,-5.0,3.1438127090301,0.0001562423774868
0.08,0.28,0.057,1,1,-5.0,3.0936454849498327,0.0001998029725476
0.08,0.28,0.057,1,1,-5.0,3.0434782608695654,0.0002433635676084
0.08,0.28,0.057,1,1,-5.0,2.9933110367892977,0.0002869241626692
0.08,0.28,0.057,1,1,-5.0,2.94314381270903,0.0003453711801748
0.08,0.28,0.057,1,1,-5.0,2.8929765886287626,0.0004079074571282
0.08,0.28,0.057,1,1,-5.0,2.842809364548495,0.0004704437340816
0.08,0.28,0.057,1,1,-5.0,2.7926421404682276,0.0005370176515906
0.08,0.28,0.057,1,1,-5.0,2.74247491638796,0.0006201017176309
0.08,0.28,0.057,1,1,-5.0,2.692307692307692,0.0007031857836712
0.08,0.28,0.057,1,1,-5.0,2.6421404682274248,0.0007862698497115
0.08,0.28,0.057,1,1,-5.0,2.591973244147157,0.0008827955327918
0.08,0.28,0.057,1,1,-5.0,2.5418060200668897,0.0009879693556768
0.08,0.28,0.057,1,1,-5.0,2.491638795986622,0.0010931431785619
0.08,0.28,0.057,1,1,-5.0,2.4414715719063547,0.0011988014102071
0.08,0.28,0.057,1,1,-5.0,2.391304347826087,0.0013276049287124
0.08,0.28,0.057,1,1,-5.0,2.341137123745819,0.0014564084472177
0.08,0.28,0.057,1,1,-5.0,2.290969899665552,0.0015852119657229
0.08,0.28,0.057,1,1,-5.0,2.240802675585284,0.0017249047726692
0.08,0.28,0.057,1,1,-5.0,2.190635451505017,0.0018788858367027
0.08,0.28,0.057,1,1,-5.0,2.140468227424749,0.0020328669007362
0.08,0.28,0.057,1,1,-5.0,2.0903010033444813,0.0021868479647697
0.08,0.28,0.057,1,1,-5.0,2.040133779264214,0.0023634055047768
0.08,0.28,0.057,1,1,-5.0,1.9899665551839463,0.0025441201105196
0.08,0.28,0.057,1,1,-5.0,1.939799331103679,0.0027248347162624
0.08,0.28,0.057,1,1,-5.0,1.8896321070234112,0.0029128040729783
0.08,0.28,0.057,1,1,-5.0,1.839464882943144,0.0031218023082459
0.08,0.28,0.057,1,1,-5.0,1.7892976588628762,0.0033308005435135
0.08,0.28,0.057,1,1,-5.0,1.7391304347826084,0.0035397987787811
0.08,0.28,0.057,1,1,-5.0,1.6889632107023411,0.0037687227330682
0.08,0.28,0.057,1,1,-5.0,1.6387959866220734,0.0040075275786865
0.08,0.28,0.057,1,1,-5.0,1.588628762541806,0.0042463324243048
0.08,0.28,0.057,1,1,-5.0,1.5384615384615383,0.0044876540277593
0.08,0.28,0.057,1,1,-5.0,1.488294314381271,0.0047577229458773
0.08,0.28,0.057,1,1,-5.0,1.4381270903010033,0.0050277918639953
0.08,0.28,0.057,1,1,-5.0,1.3879598662207355,0.0052978607821134
0.08,0.28,0.057,1,1,-5.0,1.3377926421404682,0.005583979536498
0.08,0.28,0.057,1,1,-5.0,1.2876254180602005,0.0058866369546498
0.08,0.28,0.057,1,1,-5.0,1.2374581939799332,0.0061892943728015
0.08,0.28,0.057,1,1,-5.0,1.1872909698996654,0.0064919517909533
0.08,0.28,0.057,1,1,-5.0,1.1371237458193977,0.0068250653488103
0.08,0.28,0.057,1,1,-5.0,1.0869565217391304,0.0071613945632088
0.08,0.28,0.057,1,1,-5.0,1.0367892976588626,0.0074977237776073
0.08,0.28,0.057,1,1,-5.0,0.9866220735785953,0.0078449343836298
0.08,0.28,0.057,1,1,-5.0,0.936454849498328,0.0082156439823063
0.08,0.28,0.057,1,1,-5.0,0.8862876254180598,0.0085863535809828
0.08,0.28,0.057,1,1,-5.0,0.8361204013377925,0.0089570631796593
0.08,0.28,0.057,1,1,-5.0,0.7859531772575252,0.0093529933669159
0.08,0.28,0.057,1,1,-5.0,0.735785953177257,0.0097583228538288
0.08,0.28,0.057,1,1,-5.0,0.6856187290969897,0.0101636523407417
0.08,0.28,0.057,1,1,-5.0,0.6354515050167224,0.0105738214121157
0.08,0.28,0.057,1,1,-5.0,0.5852842809364551,0.0110135963400332
0.08,0.28,0.057,1,1,-5.0,0.5351170568561869,0.0114533712679507
0.08,0.28,0.057,1,1,-5.0,0.48494983277591963,0.0118931461958682
0.08,0.28,0.057,1,1,-5.0,0.43478260869565233,0.0123517686116132
0.08,0.28,0.057,1,1,-5.0,0.38461538461538414,0.0128256566396709
0.08,0.28,0.057,1,1,-5.0,0.33444816053511683,0.0132995446677287
0.08,0.28,0.057,1,1,-5.0,0.28428093645484953,0.0137734326957864
0.08,0.28,0.057,1,1,-5.0,0.23411371237458223,0.014279896946872
0.08,0.28,0.057,1,1,-5.0,0.18394648829431404,0.0147875602191267
0.08,0.28,0.057,1,1,-5.0,0.13377926421404673,0.0152952234913813
