sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.08,0.18,0.05,0,0,-5.0,5.0,5.011585888565815e-13
0.08,0.18,0.05,0,0,-5.0,4.949832775919733,5.016734843397963e-13
0.08,0.18,0.05,0,0,-5.0,4.8996655518394645,5.021883798230108e-13
0.08,0.18,0.05,0,0,-5.0,4.849498327759197,5.027032753062254e-13
0.08,0.18,0.05,0,0,-5.0,4.79933110367893,4.974011328146725e-13
0.08,0.18,0.05,0,0,-5.0,4.749163879598663,4.875562099991028e-13
0.08,0.18,0.05,0,0,-5.0,4.698996655518394,4.777112871835327e-13
0.08,0.18,0.05,0,0,-5.0,4.648829431438127,4.678663643679627e-13
0.08,0.18,0.05,0,0,-5.0,4.59866220735786,4.693669813899509e-13
0.08,0.18,0.05,0,0,-5.0,4.548494983277592,4.711764395066439e-13
0.08,0.18,0.05,0,0,-5.0,4.498327759197324,4.729858976233371e-13
0.08,0.18,0.05,0,0,-5.0,4.448160535117057,4.749489216031302e-13
0.08,0.18,0.05,0,0,-5.0,4.397993311036789,4.771567347473203e-13
0.08,0.18,0.05,0,0,-5.0,4.3478260869565215,4.793645478915104e-13
0.08,0.18,0.05,0,0,-5.0,4.297658862876254,4.815723610357005e-13
0.08,0.18,0.05,0,0,-5.0,4.247491638795987,4.830787664478734e-13
0.08,0.18,0.05,0,0,-5.0,4.197324414715719,4.844070714641424e-13
0.08,0.18,0.05,0,0,-5.0,4.147157190635451,4.857353764804114e-13
0.08,0.18,0.05,0,0,-5.0,4.096989966555184,4.872300554795102e-13
0.08,0.18,0.05,0,0,-5.0,4.046822742474916,4.893525083851819e-13
0.08,0.18,0.05,0,0,-5.0,3.9966555183946486,4.914749612908538e-13
0.08,0.18,0.05,0,0,-5.0,3.9464882943143813,4.935974141965253e-13
0.08,0.18,0.05,0,0,-5.0,3.896321070234114,4.955854012527906e-13
0.08,0.18,0.05,0,0,-5.0,3.846153846153846,4.974914972004468e-13
0.08,0.18,0.05,0,0,-5.0,3.7959866220735785,4.993975931481032e-13
0.08,0.18,0.05,0,0,-5.0,3.745819397993311,5.010138074916896e-13
0.08,0.18,0.05,0,0,-5.0,3.6956521739130435,4.942667212282989e-13
0.08,0.18,0.05,0,0,-5.0,3.6454849498327757,4.875196349649084e-13
0.08,0.18,0.05,0,0,-5.0,3.5953177257525084,4.80772548701518e-13
0.08,0.18,0.05,0,0,-5.0,3.5451505016722407,3.0662053987265093e-12
0.08,0.18,0.05,0,0,-5.0,3.494983277591973,8.878044028037503e-12
0.08,0.18,0.05,0,0,-5.0,3.4448160535117056,1.4689882657348445e-11
0.08,0.18,0.05,0,0,-5.0,3.3946488294314383,2.0501721286659385e-11
0.08,0.18,0.05,0,0,-5.0,3.3444816053511706,4.5449203189874e-09
0.08,0.18,0.05,0,0,-5.0,3.294314381270903,9.82024441309359e-09
