sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vds,Vgs,Ids
0.26,0.12,0.057,1,1,-5.0,5.0,3.215033871016215e-12
0.26,0.12,0.057,1,1,-5.0,4.949832775919733,3.237430976224072e-12
0.26,0.12,0.057,1,1,-5.0,4.8996655518394645,3.2598280814319278e-12
0.26,0.12,0.057,1,1,-5.0,4.849498327759197,3.282225186639785e-12
0.26,0.12,0.057,1,1,-5.0,4.79933110367893,3.300430310571055e-12
0.26,0.12,0.057,1,1,-5.0,4.749163879598663,3.315361732294341e-12
0.26,0.12,0.057,1,1,-5.0,4.698996655518394,3.330293154017627e-12
0.26,0.12,0.057,1,1,-5.0,4.648829431438127,3.345224575740913e-12
0.26,0.12,0.057,1,1,-5.0,4.59866220735786,3.355972897125557e-12
0.26,0.12,0.057,1,1,-5.0,4.548494983277592,3.3666073488040128e-12
0.26,0.12,0.057,1,1,-5.0,4.498327759197324,3.377241800482469e-12
0.26,0.12,0.057,1,1,-5.0,4.448160535117057,3.3868733938717218e-12
0.26,0.12,0.057,1,1,-5.0,4.397993311036789,3.3949063973291575e-12
0.26,0.12,0.057,1,1,-5.0,4.3478260869565215,3.4029394007865935e-12
0.26,0.12,0.057,1,1,-5.0,4.297658862876254,3.4109724042440288e-12
0.26,0.12,0.057,1,1,-5.0,4.247491638795987,3.4175407362167056e-12
0.26,0.12,0.057,1,1,-5.0,4.197324414715719,3.423737161009866e-12
0.26,0.12,0.057,1,1,-5.0,4.147157190635451,3.4299335858030266e-12
0.26,0.12,0.057,1,1,-5.0,4.096989966555184,3.435832957750823e-12
0.26,0.12,0.057,1,1,-5.0,4.046822742474916,3.440611469200957e-12
0.26,0.12,0.057,1,1,-5.0,3.9966555183946486,3.4453899806510905e-12
0.26,0.12,0.057,1,1,-5.0,3.9464882943143813,3.4501684921012244e-12
0.26,0.12,0.057,1,1,-5.0,3.896321070234114,3.4543231912515282e-12
0.26,0.12,0.057,1,1,-5.0,3.846153846153846,3.458097982187052e-12
0.26,0.12,0.057,1,1,-5.0,3.7959866220735785,3.4618727731225767e-12
0.26,0.12,0.057,1,1,-5.0,3.745819397993311,3.465624406397637e-12
0.26,0.12,0.057,1,1,-5.0,3.6956521739130435,3.468707923886497e-12
0.26,0.12,0.057,1,1,-5.0,3.6454849498327757,3.471791441375357e-12
0.26,0.12,0.057,1,1,-5.0,3.5953177257525084,3.474874958864217e-12
0.26,0.12,0.057,1,1,-5.0,3.5451505016722407,3.477720480066628e-12
0.26,0.12,0.057,1,1,-5.0,3.494983277591973,3.4802697746902814e-12
0.26,0.12,0.057,1,1,-5.0,3.4448160535117056,3.482819069313936e-12
0.26,0.12,0.057,1,1,-5.0,3.3946488294314383,3.4853683639375894e-12
0.26,0.12,0.057,1,1,-5.0,3.3444816053511706,3.487571208483827e-12
0.26,0.12,0.057,1,1,-5.0,3.294314381270903,3.4897164796935845e-12
0.26,0.12,0.057,1,1,-5.0,3.2441471571906355,3.491861750903342e-12
0.26,0.12,0.057,1,1,-5.0,3.1939799331103678,3.493990147788734e-12
0.26,0.12,0.057,1,1,-5.0,3.1438127090301,3.4960728055500104e-12
0.26,0.12,0.057,1,1,-5.0,3.0936454849498327,3.4981554633112868e-12
0.26,0.12,0.057,1,1,-5.0,3.0434782608695654,3.5002381210725628e-12
0.26,0.12,0.057,1,1,-5.0,2.9933110367892977,3.503030095627249e-12
0.26,0.12,0.057,1,1,-5.0,2.94314381270903,3.5061535704001306e-12
0.26,0.12,0.057,1,1,-5.0,2.8929765886287626,3.509277045173013e-12
0.26,0.12,0.057,1,1,-5.0,2.842809364548495,3.512494897454853e-12
0.26,0.12,0.057,1,1,-5.0,2.7926421404682276,3.516627757350288e-12
0.26,0.12,0.057,1,1,-5.0,2.74247491638796,3.5207606172457226e-12
0.26,0.12,0.057,1,1,-5.0,2.692307692307692,3.5248934771411573e-12
0.26,0.12,0.057,1,1,-5.0,2.6421404682274248,3.5023445469099808e-12
0.26,0.12,0.057,1,1,-5.0,2.591973244147157,3.4536944391958977e-12
0.26,0.12,0.057,1,1,-5.0,2.5418060200668897,3.405044331481815e-12
