sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vth,Ion,ON_OFF_Ratio,SS
0.2,0.2,0.05,1,1,7.427829273,0.020345069,33306979908,185.5778136
0.2,0.2,0.05,0,0,3.716854385,0.032559539,83175097843,113.7232219
0.2,0.2,0.05,0,1,4.974941276,0.025507596,96385247807,158.169235
0.2,0.22,0.055,1,0,3.939922861,0.030816556,71554321460,148.2261212
0.2,0.22,0.055,1,1,4.670570297,0.028425913,57960750321,149.7521235
0.2,0.22,0.055,0,0,2.194344791,0.041571981,75531117374,128.9318837
0.2,0.22,0.055,0,1,3.052532976,0.03540626,96602556468,140.6455523
0.2,0.22,0.057,1,0,2.737946899,0.038078357,83161402197,134.041666
0.2,0.22,0.057,1,1,3.321157879,0.035131718,71003698996,152.3731017
0.2,0.22,0.057,0,0,1.333001046,0.04806722,86167497164,105.8775025
0.2,0.22,0.057,0,1,2.000563944,0.043290321,1.08681E+11,119.9467353
0.2,0.22,0.05,1,0,6.959523444,0.021044007,39889065117,168.3104026
0.2,0.22,0.05,1,1,7.996310432,0.020099372,25950134059,166.0565148
0.2,0.22,0.05,0,0,4.329728863,0.032602519,86669583068,135.1991441
0.2,0.22,0.05,0,1,5.603917094,0.025081837,98338205332,149.15993
0.2,0.24,0.055,1,0,4.362049652,0.030002588,68208835453,157.582559
0.2,0.24,0.055,1,1,5.096752123,0.027476389,54599427769,146.1084862
0.2,0.24,0.055,0,0,2.604565557,0.041652474,75130784182,119.4888238
0.2,0.24,0.055,0,1,3.467240918,0.034994678,98915943254,139.0688586
0.2,0.24,0.057,1,0,3.127222793,0.036493957,78681558081,139.9180766
0.2,0.24,0.057,1,1,3.684222051,0.033874732,66963715123,148.792485
0.2,0.24,0.057,0,0,1.69439175,0.047838045,85046870982,105.7902272
0.2,0.24,0.057,0,1,2.40098576,0.041817983,1.03898E+11,120.0149772
0.2,0.24,0.05,1,0,7.519985964,0.020860807,38661095282,153.5481281
0.2,0.24,0.05,1,1,8.592693983,0.019523499,23181205973,169.0239871
0.2,0.24,0.05,0,0,4.939704607,0.032407617,90140985159,115.4263188
0.2,0.24,0.05,0,1,6.203112849,0.02480285,49585939532,152.9233601
0.2,0.26,0.055,1,0,4.788329624,0.029028057,66989146003,159.2489651
0.2,0.26,0.055,1,1,5.497649607,0.02677832,51512096344,162.890203
0.2,0.26,0.055,0,0,3.024322618,0.041327806,75267492545,134.7150593
0.2,0.26,0.055,0,1,3.912464538,0.033970163,99583155429,148.2351841
0.2,0.26,0.057,1,0,3.465828183,0.035610605,76358744798,145.9305106
0.2,0.26,0.057,1,1,4.044087654,0.032606517,63158841935,162.5703944
0.2,0.26,0.057,0,0,2.055123731,0.047328338,83725364192,106.7547638
0.2,0.26,0.057,0,1,2.76121154,0.040862292,1.01993E+11,131.1691794
0.2,0.26,0.05,1,0,8.12223773,0.020209992,29403796709,183.5888239
0.2,0.26,0.05,1,1,9.183405361,0.018925427,21326319262,171.9388626
0.2,0.26,0.05,0,0,5.540942304,0.032059357,96711428985,135.9529564
0.2,0.26,0.05,0,1,6.851606279,0.023855876,46316589274,176.8556716
0.2,0.28,0.055,1,0,5.250603768,0.027516686,66651668553,155.9291765
0.2,0.28,0.055,1,1,5.948764473,0.025410733,46959731428,150.9529391
0.2,0.28,0.055,0,0,3.459663739,0.04052021,82721543466,131.4188941
0.2,0.28,0.055,0,1,4.350728896,0.032889468,98166625172,155.3368822
0.2,0.28,0.057,1,0,3.82858391,0.034263514,73197677054,147.8763715
0.2,0.28,0.057,1,1,4.416386084,0.031114706,59417156593,160.7755119
0.2,0.28,0.057,0,0,2.410958441,0.046650597,81457083153,133.1618979
0.2,0.28,0.057,0,1,3.108178718,0.039977686,1.02186E+11,138.4142018
0.2,0.28,0.05,1,0,8.787402564,0.018959193,27145252577,163.1984484
0.2,0.28,0.05,1,1,9.754735368,0.018423606,20392479422,160.4215969
0.2,0.28,0.05,0,0,6.130057804,0.03162704,34271612142,164.7908109
0.2,0.28,0.05,0,1,7.418540568,0.023592607,37767119688,146.4168683
0.2,0.3,0.055,1,0,5.666835374,0.026528376,66558346384,152.7846634
0.2,0.3,0.055,1,1,6.336128054,0.024767917,33202319903,181.2862097
0.2,0.3,0.055,0,0,3.87900716,0.039715657,91463108805,139.082992
0.2,0.3,0.055,0,1,4.763823689,0.032047361,97144864883,148.9782125
0.2,0.3,0.057,1,0,4.19249412,0.032845559,70245304508,163.6847418
0.2,0.3,0.057,1,1,4.75184298,0.030141143,55170822432,160.1980925
0.2,0.3,0.057,0,0,2.748297529,0.046051509,81937708484,111.4842684
