Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
148.6273666226231,140.05669634458172,150.4314471374144,118.04910106046256,99.58148870924278,146.5829666120684,117.63307284012446
149.68235365714168,129.4941388617089,169.61618572266036,111.36604103876344,134.61833372127668,153.46754930965778,133.2388549723005
153.19069282177657,131.01065847597414,161.43074320813056,112.33914942492484,127.08316924648088,164.48503377087587,134.85776489543863
151.70204654909313,149.46684508146623,176.39201198680942,105.2246154723473,135.06147703898995,158.38841997623354,127.71889527744143
132.17160001457583,132.20758510383433,154.49549807070207,115.68056186927323,137.48362617179723,150.6460808123107,120.81847321329796
113.72322190285256,137.30357137993732,185.57781359271908,120.33447916139068,138.09402224904616,141.27768044752753,119.1175592291924
148.22612118042332,138.19929097967577,168.31040259473596,120.94509942007753,151.129540105809,158.1692350498556,117.58350818546198
152.37310173403108,145.65317922098131,166.05651476764027,111.68390684839724,130.54010418691144,149.75212346467416,137.85144774825042
139.06885855644936,147.99382670558526,149.15992998810722,112.69457161454343,123.84557507198257,135.19914411902369,110.49243178074651
148.7924850186343,149.31907047555936,153.54812810740847,111.34492126473286,133.6447811319531,157.5825589889648,108.29371433223427
148.23518408987456,106.06665570887964,169.02398711307276,125.13683520969752,119.4435242070423,146.10848618931692,117.7107517323048
145.93051064805584,145.64794266620507,152.9233601291089,112.86263894626948,138.76542382191843,115.4263188299589,132.70405190639144
131.4188941260067,138.1679747749641,162.8902030187085,112.29165485237668,135.2188469649942,159.248965065518,108.1696901698536
147.8763715476712,138.8154774520869,183.5888239008916,96.33918469131558,127.36921369453069,162.57039443926968,117.33767946487116
139.08299202033837,140.64555230454033,171.93886258808132,113.24479468997664,138.0613404800789,155.33688222487663,133.19780513474893
150.92153292522937,134.04166598014078,135.95295639505343,108.85209391370913,127.36147414642168,160.77551189013616,114.98681607578013
161.73911253639085,119.48882379160052,176.85567164229,116.4056294314494,105.67346855168918,148.9782125070671,128.87968802118576
145.2647299554567,139.9180766400119,155.92917645013804,121.47220591317271,134.67282522688762,163.68474179162263,136.05202602543184
133.2119382081557,120.01497724510769,150.95293908981523,133.07717332416345,128.931883701483,160.1980925301718,115.55440429975066
154.7676869192538,134.7150593199083,163.1984483643709,119.94700581612932,105.87750245380109,147.23325396707045,141.44164571406435
154.66724788538698,131.16917939911278,160.42159687866064,109.05816074708096,119.94673528254418,143.10281570464213,135.83658263696591
143.01473747394144,133.16189788171428,164.79081085145998,117.6620058414304,105.7902272451418,136.57153557031654,118.59185162835448
108.82652303554974,138.41420175078022,146.4168682585656,116.81746828324538,106.75476381799726,141.10512173173694,131.66993008917544
131.13481039827258,111.48426835224844,152.78466336906703,112.19496576837862,144.72675565686615,132.60378025206788,124.11771380848928
