Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
3.986930558410514e-13,3.9122547788409057e-13,6.246864330553901e-13,4.236833350903308e-13,5.652807640984319e-13,3.164412505220858e-13,5.034101187913507e-13
4.27935012267845e-13,5.62030719559279e-13,3.985732422448721e-13,4.624890874549353e-13,3.6406185538850283e-13,3.68264171793925e-13,3.568483232952335e-13
4.249152134645423e-13,2.8840533716873483e-13,7.459694770398381e-13,4.3490817424005045e-13,5.182503440810984e-13,3.884820093437496e-13,3.7133952492609203e-13
4.012261940591012e-13,4.1173407432301066e-13,7.034895717309024e-13,3.197888388017557e-13,4.98320978818291e-13,3.699153624363956e-13,3.023136758072312e-13
4.849149404008418e-13,3.5918797395371114e-13,9.142452431300568e-13,4.721988676815196e-13,4.268455119542717e-13,3.583435456878275e-13,4.585566406845237e-13
4.049196635456805e-13,4.969872739307452e-13,9.143744529890509e-13,4.643439234229958e-13,2.946873751899617e-13,3.9262899222456933e-13,4.343097112567636e-13
4.88622579667097e-13,3.2475021166716016e-13,6.30052250975063e-13,5.017204496787986e-13,3.605073345335386e-13,3.485283828213771e-13,4.473256768361618e-13
4.367569936156381e-13,3.281470240293864e-13,4.612010625640198e-13,3.975092508285058e-13,2.9776587322745685e-13,4.002453424756146e-13,3.739190489197407e-13
4.653243293146485e-13,3.3692185829039133e-13,3.25436303826282e-13,2.8278238257764654e-13,3.0617699205452026e-13,3.8538176655080345e-13,4.597471889840842e-13
4.30558483648736e-13,4.398221868268125e-13,2.987477851652872e-13,4.1516042856596084e-13,4.381015761397923e-13,4.078857267786177e-13,4.862859391485883e-13
4.521047800924095e-13,3.4698245846678775e-13,4.64757994226368e-13,2.8849233852870734e-13,3.688398920755534e-13,4.2109480322711306e-13,4.591247729200407e-13
3.675165997677924e-13,5.010464564031272e-13,5.37480062092109e-13,4.1663604982436313e-13,3.5027121037694243e-13,4.1113126214401053e-13,4.0553046675701394e-13
3.273738264960934e-13,4.737152203849686e-13,4.70144424315802e-13,4.4651546042971653e-13,4.679887157492747e-13,3.1681705824218173e-13,4.812265687400877e-13
2.970880205881231e-13,4.1366650265451133e-13,5.524653874858262e-13,4.5205171420057894e-13,4.0703659916692053e-13,2.8330576849888713e-13,5.148967371523648e-13
4.1129628414228644e-13,3.8725049432634114e-13,5.97613620925191e-13,4.542779886316381e-13,4.945100299807392e-13,2.952440328112255e-13,5.17955839269117e-13
3.9131347649852473e-13,5.281576056189388e-13,3.6839953546730973e-13,4.155050319505041e-13,4.226438434614357e-13,2.964176615408144e-13,4.997262744890108e-13
4.3054991917075783e-13,4.61780117273235e-13,3.964075773519706e-13,4.168240788713625e-13,3.5493534956982775e-13,3.228925692862197e-13,5.36378569511503e-13
4.163337888700466e-13,3.9795453063353444e-13,5.82362790403852e-13,2.848970212825684e-13,5.238986517128725e-13,2.994328342932459e-13,3.257518087801232e-13
3.739923716475067e-13,5.531367685300179e-13,6.219972123189902e-13,4.4469630595584293e-13,5.013817833067968e-13,3.201649625521262e-13,2.885534781019592e-13
4.200656509569581e-13,5.306416956321456e-13,3.1653935454617426e-13,4.3740742535416283e-13,4.3504416252318566e-13,3.854557788217125e-13,2.988613591137292e-13
3.497598337772445e-13,4.681051310755767e-13,7.187242050267757e-13,4.5102558061953224e-13,5.136716902662763e-13,2.725743588385098e-13,4.0273692810854353e-13
4.670395774549054e-13,5.470991084008298e-13,3.9940380426652724e-13,4.048601114092642e-13,5.544238504987758e-13,4.0631199741087925e-13,5.227058000823644e-13
4.2353760467659333e-13,4.685246055641293e-13,7.085416518675533e-13,3.617667879725874e-13,5.605291085340396e-13,3.7493195635532413e-13,3.8798472282500914e-13
