Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
8600000123.78476,84174973022.62573,34426772726.82848,,78943011964.22414,61870110024.254616,105379089260.8422
94390758950.291,66327993968.14932,88999078144.45242,,86683841230.22734,7985448025.412702,92448919385.19617
98708438020.14598,73375608076.0294,50363545753.74568,,84600961077.0828,100000646638.95737,80172282541.0657
9467513558.886204,109929337262.52858,73242999592.25398,,85614097853.3728,57877127501.79033,81049865188.12234
67909046170.51609,103868092153.59996,47675757414.89057,,84212977670.80788,85879809247.66466,101119796116.57697
9173179950.135244,64050717035.14102,34827311460.09233,,98992583010.33908,9073481170.408312,89946361399.32834
99275606215.43687,62814526335.70607,43963021108.62188,,80614634721.05975,83795931922.9596,92129918655.83894
64705011574.79879,83010939496.47539,99275250771.95113,,79861937686.84894,67578226903.0892,89743565711.58847
99590326109.11395,108977916144.12724,102442745667.96931,,98762311350.69832,8657990085.28801,90340439897.67358
100606993499.43098,74353392954.2385,27698257388.93444,,119161942489.88756,100030161326.6786,107054261197.37737
95115536379.48846,88036433322.1338,36153181932.9076,,126502635570.22104,83815443379.07918,132137181524.4832
103024518013.8847,101568621814.59367,34948302548.17673,,74352228484.42195,64096533120.22247,149128428528.7475
93057229162.77156,75702142696.12769,35333420442.88126,,125259325491.1205,8288567633.491647,70038786158.39888
104708362987.997,72814772225.4234,85188290176.57187,,66600915664.6888,99493254414.05563,112806437468.9245
61125404377.985245,84922020311.50986,26735036302.65572,,95935013143.08437,61105704363.2808,111932199066.02232
89762833394.72095,76257565536.09953,34799707587.894615,,129120489584.40596,88486394546.3728,121325036874.33836
78914150196.47493,83005936365.66338,34721942972.97273,,67653919049.25426,7447426104.575215,106963201894.57169
98015328351.1186,82012993147.08714,34491559930.419044,,66986708254.92142,8324127032.338034,142331270881.10626
76802581857.00171,83061418189.67404,74541996618.11209,,86947351381.84071,94324317233.79572,107964341759.56898
83112249209.64749,79945653887.61569,52219117563.48441,,124751593083.05524,57919334031.39208,127024550361.15138
88316105039.43695,82126176883.98714,81535840527.03185,,80173128832.39734,7166790040.275965,140696541462.93414
78889782596.36284,78587868599.40782,50862531341.54539,,79827378757.6957,57453598391.51405,107744703217.55734
86856272326.17732,104547101353.51855,40225134399.12788,,95339264814.5876,91692475685.3836,117725635258.5606
95232451469.68184,99467636595.15764,38586460574.412766,,76559391850.33209,82555393774.44156,126234052403.05518
79327668353.90987,85836078105.59702,37370700966.37085,,86702307459.65445,61806580508.7692,113990734454.30592
81490580586.47841,10204187318.308262,35090847294.771095,,85574135782.0139,7976812138.895792,133177955190.87442
91367119770.78424,9670843267.466024,102479529225.97076,,86160826231.78554,96392275033.2532,108390487570.25607
89162996017.00708,90089646065.02574,81511228134.40625,,83646755142.32794,56326075785.25464,11732795615.941025
92070613358.2156,87670969429.4782,74399651744.72665,,85082875346.37068,88440436509.14429,144698353254.2722
82159122224.69693,9411504781.2351,30326511112.37748,,80866764643.93991,85080348580.0329,91472286448.9104
,78004116166.34248,34009521370.7622,,98742624010.8025,8796594111.033882,120297847979.44632
,10868209704.242088,35604704040.850746,,118459985826.0154,81575310353.44247,143133221611.82468
