target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
Vth,ALL,0,3.067162973466748,3.0465102445511705,3.067162973466748,3.0465102445511705,0.2,0.18,0.055,1,0,0.2,0.18,0.055,1,0,0.05628194686797542,-0.5336943848599912,-0.5327526852730989,0.6550122093799291,-0.2973337987004561
Vth,ALL,1,3.8012116362113497,3.6740292747391377,3.8012116362113497,3.6740292747391377,0.2,0.18,0.055,1,1,0.2,0.18,0.055,1,1,0.06950008838079157,-0.5323415312767611,-0.5650851038078235,0.659356135201524,0.34360258748854905
Vth,ALL,2,1.281327586460676,1.3776038758580171,1.281327586460676,1.3776038758580171,0.2,0.18,0.055,0,0,0.2,0.18,0.055,0,0,-0.0691380080136787,-0.5202692853766347,-0.45606117903110316,-0.9850658266209211,-0.29085882670064167
Vth,ALL,3,2.169999026386947,2.032564450223495,2.169999026386947,2.032564450223495,0.2,0.18,0.055,0,1,0.2,0.18,0.055,0,1,-0.02923255604487622,-0.4814020667500881,-0.49563222002958357,-0.9954825972381514,0.3353168711482067
Vth,ALL,4,2.0231266899298026,2.0007552749882507,2.0231266899298026,2.0007552749882507,0.2,0.18,0.057,1,0,0.2,0.18,0.057,1,0,0.04618259550117727,-0.4934546644912916,-1.5679498626182067,0.5919218161422759,-0.27494150209477086
Vth,ALL,5,2.6162820422057558,2.5619064850457747,2.6162820422057558,2.5619064850457747,0.2,0.18,0.057,1,1,0.2,0.18,0.057,1,1,0.07425340371682979,-0.4770423921759357,-1.6475740568724633,0.5945694992895005,0.31870312109826043
Vth,ALL,6,0.6215827849748214,0.6663544838350833,0.6215827849748214,0.6663544838350833,0.2,0.18,0.057,0,0,0.2,0.18,0.057,0,0,-0.045421831713829304,-0.49335729778482346,-1.3334695723703407,-0.8903674310300267,-0.27002638654183103
Vth,ALL,7,1.2936852853313212,1.226836493038428,1.2936852853313212,1.226836493038428,0.2,0.18,0.057,0,1,0.2,0.18,0.057,0,1,0.005370307321181826,-0.47272161756296555,-1.4172836949159227,-0.8994317424582551,0.3119062358436349
Vth,ALL,8,5.668667243951466,5.722832430299203,5.668667243951466,5.722832430299203,0.2,0.18,0.05,1,0,0.2,0.18,0.05,1,0,0.11224935808633746,-0.6404379235958914,2.100633958154358,0.8130563087912742,-0.3616661821334492
Vth,ALL,9,6.775176878035956,6.628171505871521,6.775176878035956,6.628171505871521,0.2,0.18,0.05,1,1,0.2,0.18,0.05,1,1,0.12987760211663044,-0.6363307456017355,2.208634712568019,0.8073895990976598,0.41960337284486743
Vth,ALL,10,3.103944369012565,3.2301283703452275,3.103944369012565,3.2301283703452275,0.2,0.18,0.05,0,0,0.2,0.18,0.05,0,0,-0.06136692228847096,-0.6135411093155926,1.788225884757121,-1.2161212982435246,-0.36606509116603775
Vth,ALL,11,4.349297541687043,4.235269583748313,4.349297541687043,4.235269583748313,0.2,0.18,0.05,0,1,0.2,0.18,0.05,0,1,0.006983653333950315,-0.5920477300395578,1.9118059106095462,-1.2137307962524937,0.4232616807510567
Vth,ALL,12,1.2878949932314103,1.2731240290662076,1.2878949932314103,1.2731240290662076,0.2,0.1,0.055,1,0,0.2,0.1,0.055,1,0,0.06838867752550869,-2.3813908026056105,-0.46317118874949303,0.6598648662533378,-0.3095645468184011
Vth,ALL,13,2.053867477523832,1.9904639995081792,2.053867477523832,1.9904639995081792,0.2,0.1,0.055,1,1,0.2,0.1,0.055,1,1,0.07550185466330732,-2.3530247513793254,-0.4885577226897385,0.6991626884386641,0.3583850097841605
Vth,ALL,14,-0.3880401331549876,-0.3879488927657639,-0.3880401331549876,-0.3879488927657639,0.2,0.1,0.055,0,0,0.2,0.1,0.055,0,0,-0.057875562284989426,-2.379209384592923,-0.39454954026080485,-0.9914568690536544,-0.26385454571660377
Vth,ALL,15,0.3716224955905125,0.031487964939080765,0.3716224955905125,0.031487964939080765,0.2,0.1,0.055,0,1,0.2,0.1,0.055,0,1,-0.08537309419212306,-2.399477189285317,-0.43277696947247024,-1.0530679198366124,0.30318613984669357
Vth,ALL,16,0.5260700489827851,0.5662367292502706,0.5260700489827851,0.5662367292502706,0.2,0.1,0.057,1,0,0.2,0.1,0.057,1,0,0.05415294315343999,-2.166673521622906,-1.3238908174165227,0.5821387532586232,-0.27848764855192715
Vth,ALL,17,1.1538193668688883,1.1364564202056147,1.1538193668688883,1.1364564202056147,0.2,0.1,0.057,1,1,0.2,0.1,0.057,1,1,0.06967114177272378,-2.142453034122882,-1.4157740792943878,0.6030502368550514,0.32296517815280823
Vth,ALL,18,-0.7232541619095632,-0.6727594055291328,-0.7232541619095632,-0.6727594055291328,0.2,0.1,0.057,0,0,0.2,0.1,0.057,0,0,-0.04097923922402515,-2.141368474352621,-1.0610290074369004,-0.8749428233425715,-0.2534368653102683
Vth,ALL,19,-0.1524256800072438,-0.22945924109174945,-0.1524256800072438,-0.22945924109174945,0.2,0.1,0.057,0,1,0.2,0.1,0.057,0,1,-0.030179303043678374,-2.1577637650117323,-1.121395471525766,-0.9105825104709947,0.2914647906875325
