target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
ON_OFF_fixedV,ALL,0,6.094777160602765,6.025255767847705,0.8509387592803992,0.8466621401846433,0.2,0.18,0.055,1,0,0.2,0.18,0.055,1,0,-0.057975811630603856,-0.3484380508773029,0.008835052670619917,-0.43545766426890625,0.09768891453990364
ON_OFF_fixedV,ALL,1,4.631994975671061,4.7418957375085,0.7506622586980993,0.7590553022259987,0.2,0.18,0.055,1,1,0.2,0.18,0.055,1,1,-0.05786212756647728,-0.2700100942222343,0.006933189297560602,-0.36703206796912125,-0.1349832924605289
ON_OFF_fixedV,ALL,2,17.63937213898062,16.696705397147955,1.2704312791999057,1.2478924211064766,0.2,0.18,0.055,0,0,0.2,0.18,0.055,0,0,-0.01638277305304655,-0.9448230916495959,0.03009555327473208,0.4380265574688383,0.15896652278359397
ON_OFF_fixedV,ALL,3,9.916440107045078,10.965683527508894,1.0380810363610096,1.0779375122889037,0.2,0.18,0.055,0,1,0.2,0.18,0.055,0,1,-0.06391869371924258,-0.624228292300395,0.024173822292068506,0.3700294189710985,-0.2101284163188393
ON_OFF_fixedV,ALL,4,12.172985657064007,12.065335465473057,1.1196842189582379,1.116120565148949,0.2,0.18,0.057,1,0,0.2,0.18,0.057,1,0,-0.08066017085206113,-0.4069586328137666,0.4107447231764672,-0.505592025056103,0.11657700234543882
ON_OFF_fixedV,ALL,5,8.51234066994648,8.759233735007848,0.9782873954824344,0.9894157195394337,0.2,0.18,0.057,1,1,0.2,0.18,0.057,1,1,-0.07053536761886789,-0.3150321190524846,0.3704237573171849,-0.42293599029886536,-0.15451429533321062
ON_OFF_fixedV,ALL,6,73.77893799453422,68.61358678161035,1.8737792930408719,1.8426940109958176,0.2,0.18,0.057,0,0,0.2,0.18,0.057,0,0,-0.011542688113840995,-1.0637485445983474,0.6012958847021218,0.5371828656055732,0.19749678192281864
ON_OFF_fixedV,ALL,7,24.33851003312169,27.0463874393691,1.4037810737116618,1.447876929186243,0.2,0.18,0.057,0,1,0.2,0.18,0.057,0,1,-0.08300894022329885,-0.7444920034197275,0.51129312541947,0.4377542299528432,-0.255679193671458
ON_OFF_fixedV,ALL,8,2.544950714439449,2.5138525724529237,0.5496102015513061,0.5457835362391515,0.2,0.18,0.05,1,0,0.2,0.18,0.05,1,0,-0.05010255474546284,-0.25505933415173787,-0.4879563418752514,-0.31837582009044124,0.07526789147676027
ON_OFF_fixedV,ALL,9,2.095316568055861,2.1346879536442596,0.4907050723316175,0.4961943149417193,0.2,0.18,0.05,1,1,0.2,0.18,0.05,1,1,-0.04927458036443568,-0.21056479407590814,-0.4398496265221911,-0.27873065704661715,-0.10739573629027291
ON_OFF_fixedV,ALL,10,4.287166267413648,4.258469126784923,0.723222968034176,0.7208593284583594,0.2,0.18,0.05,0,0,0.2,0.18,0.05,0,0,-0.0267637870303588,-0.4938618115967256,-0.73425851805805,0.2875457236268267,0.10618801543118024
ON_OFF_fixedV,ALL,11,3.417145145093997,3.5403174117448772,0.6451416701838443,0.6570862152691423,0.2,0.18,0.05,0,1,0.2,0.18,0.05,0,1,-0.0489099341264955,-0.36624039534443,-0.6226621050323593,0.25827771895899787,-0.14538877840495842
ON_OFF_fixedV,ALL,12,21.19095081360646,22.704973543588395,1.3461759108059617,1.3748394749521708,0.2,0.1,0.055,1,0,0.2,0.1,0.055,1,0,-0.1705726370261982,1.2689880122434989,0.06447261234687175,-1.618854701903183,0.2487964935869968
ON_OFF_fixedV,ALL,13,10.66770376127503,11.096334362163844,1.0669853940118466,1.082653782921992,0.2,0.1,0.055,1,1,0.2,0.1,0.055,1,1,-0.13521751005013358,0.9960386736490182,0.03355327370547457,-1.0584773325208516,-0.3352530021306302
ON_OFF_fixedV,ALL,14,746572748.4858923,1070944872.7032652,8.873072133776875,9.029767116338256,0.2,0.1,0.055,0,0,0.2,0.1,0.055,0,0,0.21552028100253665,3.577774264385225,0.6456676023770705,2.159800826933497,0.8489943828286778
ON_OFF_fixedV,ALL,15,172.4249701077268,21864.587003735644,2.239111628314713,4.339761140910753,0.2,0.1,0.055,0,1,0.2,0.1,0.055,0,1,-0.21655253645243647,2.3466481950385787,0.3160653345465835,1.3834118769294583,-1.0718214352592623
ON_OFF_fixedV,ALL,16,100.41162756988344,104.26285362940355,2.0060877528270016,2.0222751393721627,0.2,0.1,0.057,1,0,0.2,0.1,0.057,1,0,-0.3770684019308828,1.4971479743202507,0.7530628308848827,-1.7455570035158599,0.3126801115977287
ON_OFF_fixedV,ALL,17,29.17915538857292,33.03963017434344,1.479707081191229,1.5319848330190602,0.2,0.1,0.057,1,1,0.2,0.1,0.057,1,1,-0.21457217759991182,1.1477140186200268,0.5937412114499603,-1.1771362430221053,-0.3997716603112349
ON_OFF_fixedV,ALL,18,76721618113.65157,30654843408.183235,10.884917753845265,10.48649910200945,0.2,0.1,0.057,0,0,0.2,0.1,0.057,0,0,0.1270262770364934,3.879123851156619,1.6371429599676048,2.3359836784913206,0.925212476454617
