target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
ON_OFF_eq,ALL,21,61754536128.17527,60688925589.8549,61754536128.17527,60688925589.8549,0.2,0.1,0.05,1,1,0.2,0.1,0.05,1,1,8259199591.77,19422657505.4375,-21434847151.84,-10022857403.22,-5534936195.29
ON_OFF_eq,ALL,22,64903120220.260254,65524525361.78883,64903120220.260254,65524525361.78883,0.2,0.1,0.05,0,0,0.2,0.1,0.05,0,0,835217682.655,8822435810.35875,-17220515957.205,5457718365.56,-2370040923.78
ON_OFF_eq,ALL,23,90030357766.8041,89534181698.93275,90030357766.8041,89534181698.93275,0.2,0.1,0.05,0,1,0.2,0.1,0.05,0,1,7323865459.36,14891562676.950624,-21278534218.85125,15237616573.05,3359962522.135
ON_OFF_eq,ALL,24,97274213506.39607,97106246242.8257,97274213506.39607,97106246242.8257,0.2,0.12,0.055,1,0,0.2,0.12,0.055,1,0,3657453281.505,17250395578.8225,4007160559.63875,-2474616505.42,4666143461.045
ON_OFF_eq,ALL,25,85701547849.92867,89241053908.96884,85701547849.92867,89241053908.96884,0.2,0.12,0.055,1,1,0.2,0.12,0.055,1,1,11746254644.305,18990138758.12375,3968156434.5175,-10272181245.04,-5191022166.59
ON_OFF_eq,ALL,26,84615242450.88942,84512238462.34042,84615242450.88942,84512238462.34042,0.2,0.12,0.055,0,0,0.2,0.12,0.055,0,0,401625476.42,10386670962.55875,3975822827.115,3946379559.2,-4197968455.88
ON_OFF_eq,ALL,27,120181931009.12416,119376431748.03566,120181931009.12416,119376431748.03566,0.2,0.12,0.055,0,1,0.2,0.12,0.055,0,1,9430488287.915,14499933756.8775,4344687494.88875,15652781748.24,5448832809.58
ON_OFF_eq,ALL,28,114198804797.06367,114153185501.58363,114198804797.06367,114153185501.58363,0.2,0.12,0.057,1,0,0.2,0.12,0.057,1,0,4630645807.82,19825682417.245,16622572927.40625,-1185161517.94,4259738045.855
ON_OFF_eq,ALL,29,96432039827.51686,107989102121.77895,96432039827.51686,107989102121.77895,0.2,0.12,0.057,1,1,0.2,0.12,0.057,1,1,13878596147.405,21487530331.65375,17409871765.485,-10015480247.2,-4771124708.19
ON_OFF_eq,ALL,30,97948694169.29369,90868335363.62787,97948694169.29369,90868335363.62787,0.2,0.12,0.057,0,0,0.2,0.12,0.057,0,0,-170820593.54,11675785449.215,13264204404.2575,1908803894.58,-5809346024.33
ON_OFF_eq,ALL,31,137562713824.6064,137519518164.66122,137562713824.6064,137519518164.66122,0.2,0.12,0.057,0,1,0.2,0.12,0.057,0,1,10087531349.87,17797186105.19,17102542341.26125,15225622416.66,7306928527.94
ON_OFF_eq,ALL,32,72322375570.47769,72935638973.09908,72322375570.47769,72935638973.09908,0.2,0.12,0.05,1,0,0.2,0.12,0.05,1,0,3212863487.68,19008396020.08625,-20430279875.13375,-3849776933.12,4994726797.13
ON_OFF_eq,ALL,33,60564137484.82749,60387294130.59975,60564137484.82749,60387294130.59975,0.2,0.12,0.05,1,1,0.2,0.12,0.05,1,1,8293080835.81,19066996182.42875,-21211810752.34,-10155714273.1,-5604965917.82
ON_OFF_eq,ALL,34,66467699981.66889,66528563883.64731,66467699981.66889,66528563883.64731,0.2,0.12,0.05,0,0,0.2,0.12,0.05,0,0,809116395.075,9235995391.8675,-17182614459.8225,5850222124.38,-2183866415.525
