target,__cluster__,sim_index,y_true_orig,y_pred_orig_model_on_X,y_true_trans,y_pred_trans_model_on_X,ORIG_sde_xAl,ORIG_sde_xIn,ORIG_sde_tRecess,ORIG_sde_AlN1,ORIG_sde_AlN2,sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,SHAP_sde_xAl,SHAP_sde_xIn,SHAP_sde_tRecess,SHAP_sde_AlN1,SHAP_sde_AlN2
Ion_fixedV,ALL,14,0.0331226740353345,0.033428002922693656,0.014151893149273278,0.014280225498815087,0.2,0.1,0.055,0,0,0.2,0.1,0.055,0,0,-0.00024485705009738015,-0.011770570344424414,-0.00012179415043647168,-0.0033658484310217316,-0.0011923598863222652
Ion_fixedV,ALL,15,0.0408675279611619,0.03997728443052195,0.01739546002313716,0.017023853381263988,0.2,0.1,0.055,0,1,0.2,0.1,0.055,0,1,-9.82456462202208e-05,-0.01159653853535474,-0.0001223371611672519,-0.0035377502364644896,0.001403068916201846
Ion_fixedV,ALL,16,0.0480286242798109,0.048225766078351606,0.020373144476909133,0.020454830741615315,0.2,0.1,0.057,1,0,0.2,0.1,0.057,1,0,0.00020299925709650778,-0.011206399318539298,-0.00047021346646488384,0.0022421415723874816,-0.0012893526800485233
Ion_fixedV,ALL,17,0.0556061617062211,0.055912791388758265,0.023501916587042836,0.023628050979400083,0.2,0.1,0.057,1,1,0.2,0.1,0.057,1,1,0.00027790531358505175,-0.010937892510746679,-0.0005342621054523988,0.0023195748836224083,0.0015270703047599455
Ion_fixedV,ALL,18,0.0333290750355121,0.033530050534344547,0.014238649412297435,0.014323108531291933,0.2,0.1,0.057,0,0,0.2,0.1,0.057,0,0,-0.00021051675717899344,-0.011555282660592638,-0.0003773140984594647,-0.003315498836018378,-0.0011939343933681811
Ion_fixedV,ALL,19,0.0409328024172356,0.040212639922871274,0.017422694466015888,0.017122126707994782,0.2,0.1,0.057,0,1,0.2,0.1,0.057,0,1,-5.4234898279901244e-05,-0.011378932460156648,-0.00037283697151679006,-0.003454039594689675,0.001406514565346697
Ion_fixedV,ALL,20,0.0502173024601591,0.04955940785324353,0.021279169065368846,0.021007025836611813,0.2,0.1,0.05,1,0,0.2,0.1,0.05,1,0,0.0002158367503466252,-0.011741614108691465,0.0005920096744557668,0.0023160079802619295,-0.001350870005201159
Ion_fixedV,ALL,21,0.0589996001357385,0.05809165069045519,0.02489579612365584,0.024523287420542623,0.2,0.1,0.05,1,1,0.2,0.1,0.05,1,1,0.0003129355944429335,-0.011472313258987015,0.0006585211002948199,0.0024523756440976287,0.0015961129798665753
Ion_fixedV,ALL,22,0.0337680959499003,0.03389630939146615,0.01442312488457024,0.014476985066237468,0.2,0.1,0.05,0,0,0.2,0.1,0.05,0,0,-0.00025724152734255765,-0.012134229916318873,0.0005041750571035664,-0.0034223664749151793,-0.0011890077613202267
Ion_fixedV,ALL,23,0.0420105508016291,0.040189516587817886,0.01787211640278489,0.01711247248149268,0.2,0.1,0.05,0,1,0.2,0.1,0.05,0,1,-0.0001220269131022178,-0.011980198471819676,0.0004924792129213528,-0.003648705785271886,0.0013952682459466815
